full-supervised.py --data chameleon --layer 4 --lamda 1.5 --alpha 0.2 --weight_decay 5e-4 --model GCNII
Epoch:0001 train loss:1.609 acc:22.07 | val loss:1.606 acc:24.42
Epoch:0002 train loss:1.608 acc:22.07 | val loss:1.605 acc:24.42
Epoch:0003 train loss:1.607 acc:22.07 | val loss:1.604 acc:24.42
Epoch:0004 train loss:1.606 acc:22.07 | val loss:1.603 acc:24.42
Epoch:0005 train loss:1.605 acc:22.07 | val loss:1.602 acc:24.42
Epoch:0006 train loss:1.604 acc:22.07 | val loss:1.600 acc:24.42
Epoch:0007 train loss:1.603 acc:22.25 | val loss:1.599 acc:24.42
Epoch:0008 train loss:1.602 acc:22.80 | val loss:1.598 acc:26.47
Epoch:0009 train loss:1.600 acc:25.09 | val loss:1.596 acc:31.28
Epoch:0010 train loss:1.598 acc:26.92 | val loss:1.593 acc:28.81
Epoch:0011 train loss:1.595 acc:29.03 | val loss:1.590 acc:29.49
Epoch:0012 train loss:1.592 acc:29.03 | val loss:1.587 acc:24.55
Epoch:0013 train loss:1.588 acc:26.19 | val loss:1.582 acc:23.05
Epoch:0014 train loss:1.582 acc:25.55 | val loss:1.574 acc:28.12
Epoch:0015 train loss:1.577 acc:26.65 | val loss:1.562 acc:30.04
Epoch:0016 train loss:1.555 acc:31.14 | val loss:1.546 acc:29.77
Epoch:0017 train loss:1.540 acc:31.41 | val loss:1.526 acc:29.77
Epoch:0018 train loss:1.522 acc:30.40 | val loss:1.506 acc:30.18
Epoch:0019 train loss:1.506 acc:31.78 | val loss:1.500 acc:35.53
Epoch:0020 train loss:1.502 acc:34.98 | val loss:1.476 acc:31.96
Epoch:0021 train loss:1.471 acc:32.60 | val loss:1.490 acc:31.41
Epoch:0022 train loss:1.527 acc:31.41 | val loss:1.444 acc:39.09
Epoch:0023 train loss:1.432 acc:37.73 | val loss:1.464 acc:35.67
Epoch:0024 train loss:1.450 acc:35.99 | val loss:1.424 acc:42.39
Epoch:0025 train loss:1.395 acc:38.28 | val loss:1.419 acc:40.74
Epoch:0026 train loss:1.387 acc:38.46 | val loss:1.428 acc:41.43
Epoch:0027 train loss:1.406 acc:36.90 | val loss:1.386 acc:37.45
Epoch:0028 train loss:1.367 acc:37.00 | val loss:1.480 acc:33.47
Epoch:0029 train loss:1.448 acc:33.06 | val loss:1.413 acc:35.53
Epoch:0030 train loss:1.409 acc:34.52 | val loss:1.391 acc:32.92
Epoch:0031 train loss:1.365 acc:34.98 | val loss:1.442 acc:32.37
