BASELINE
full-supervised.py --data citeseer --layer 64 --weight_decay 5e-6 --model GCNII
Epoch:0001 train loss:1.781 acc:20.37 | val loss:1.771 acc:21.02
Epoch:0002 train loss:1.774 acc:20.37 | val loss:1.763 acc:21.02
Epoch:0003 train loss:1.766 acc:20.37 | val loss:1.752 acc:21.02
Epoch:0004 train loss:1.754 acc:20.49 | val loss:1.740 acc:21.02
Epoch:0005 train loss:1.743 acc:22.07 | val loss:1.728 acc:21.49
Epoch:0006 train loss:1.730 acc:26.36 | val loss:1.714 acc:27.52
Epoch:0007 train loss:1.713 acc:30.90 | val loss:1.701 acc:35.82
Epoch:0008 train loss:1.700 acc:35.50 | val loss:1.686 acc:40.34
Epoch:0009 train loss:1.686 acc:37.77 | val loss:1.672 acc:45.33
Epoch:0010 train loss:1.673 acc:39.34 | val loss:1.656 acc:48.44
Epoch:0011 train loss:1.654 acc:41.74 | val loss:1.640 acc:48.73
Epoch:0012 train loss:1.636 acc:43.51 | val loss:1.622 acc:50.52
Epoch:0013 train loss:1.618 acc:45.59 | val loss:1.603 acc:53.44
Epoch:0014 train loss:1.593 acc:49.31 | val loss:1.583 acc:58.72
Epoch:0015 train loss:1.563 acc:54.48 | val loss:1.561 acc:63.90
Epoch:0016 train loss:1.538 acc:60.53 | val loss:1.538 acc:68.61
Epoch:0017 train loss:1.514 acc:62.86 | val loss:1.513 acc:70.50
Epoch:0018 train loss:1.485 acc:66.02 | val loss:1.488 acc:71.54
Epoch:0019 train loss:1.454 acc:67.40 | val loss:1.460 acc:72.38
Epoch:0020 train loss:1.427 acc:69.99 | val loss:1.432 acc:72.67
Epoch:0021 train loss:1.387 acc:69.67 | val loss:1.403 acc:72.76
Epoch:0022 train loss:1.348 acc:71.19 | val loss:1.373 acc:72.76
Epoch:0023 train loss:1.323 acc:70.81 | val loss:1.342 acc:73.04
Epoch:0024 train loss:1.285 acc:72.01 | val loss:1.310 acc:73.14
Epoch:0025 train loss:1.255 acc:71.56 | val loss:1.278 acc:73.70
Epoch:0026 train loss:1.221 acc:72.26 | val loss:1.245 acc:74.46
Epoch:0027 train loss:1.198 acc:71.56 | val loss:1.212 acc:75.02
Epoch:0028 train loss:1.155 acc:72.82 | val loss:1.180 acc:75.12
Epoch:0029 train loss:1.125 acc:72.95 | val loss:1.148 acc:75.78
Epoch:0030 train loss:1.088 acc:74.27 | val loss:1.117 acc:76.15
Epoch:0031 train loss:1.044 acc:75.73 | val loss:1.086 acc:76.53
Epoch:0032 train loss:1.038 acc:74.91 | val loss:1.057 acc:76.72
Epoch:0033 train loss:0.993 acc:75.22 | val loss:1.028 acc:76.72
Epoch:0034 train loss:0.959 acc:76.73 | val loss:1.001 acc:76.72
Epoch:0035 train loss:0.942 acc:74.91 | val loss:0.975 acc:76.44
Epoch:0036 train loss:0.905 acc:78.25 | val loss:0.951 acc:76.44
Epoch:0037 train loss:0.873 acc:76.48 | val loss:0.928 acc:76.53
Epoch:0038 train loss:0.861 acc:77.87 | val loss:0.907 acc:76.34
Epoch:0039 train loss:0.811 acc:77.99 | val loss:0.887 acc:76.25
Epoch:0040 train loss:0.800 acc:78.18 | val loss:0.869 acc:76.25
Epoch:0041 train loss:0.773 acc:77.74 | val loss:0.852 acc:76.63
Epoch:0042 train loss:0.757 acc:79.45 | val loss:0.836 acc:76.53
Epoch:0043 train loss:0.735 acc:78.69 | val loss:0.822 acc:76.63
Epoch:0044 train loss:0.721 acc:79.89 | val loss:0.809 acc:76.72
Epoch:0045 train loss:0.702 acc:80.45 | val loss:0.797 acc:76.72
Epoch:0046 train loss:0.677 acc:82.28 | val loss:0.786 acc:77.00
Epoch:0047 train loss:0.658 acc:80.90 | val loss:0.776 acc:76.81
Epoch:0048 train loss:0.657 acc:81.34 | val loss:0.766 acc:76.72
Epoch:0049 train loss:0.641 acc:80.26 | val loss:0.758 acc:76.91
Epoch:0050 train loss:0.630 acc:81.46 | val loss:0.751 acc:76.91
Epoch:0051 train loss:0.628 acc:81.02 | val loss:0.744 acc:77.29
Epoch:0052 train loss:0.590 acc:82.16 | val loss:0.738 acc:77.19
Epoch:0053 train loss:0.578 acc:82.47 | val loss:0.732 acc:77.66
Epoch:0054 train loss:0.551 acc:82.60 | val loss:0.727 acc:77.57
Epoch:0055 train loss:0.565 acc:83.10 | val loss:0.723 acc:77.38
Epoch:0056 train loss:0.544 acc:84.24 | val loss:0.718 acc:77.47
Epoch:0057 train loss:0.550 acc:83.23 | val loss:0.715 acc:77.57
Epoch:0058 train loss:0.522 acc:83.98 | val loss:0.712 acc:77.76
Epoch:0059 train loss:0.526 acc:83.35 | val loss:0.709 acc:77.95
Epoch:0060 train loss:0.513 acc:85.44 | val loss:0.707 acc:77.66
Epoch:0061 train loss:0.497 acc:85.81 | val loss:0.706 acc:78.04
Epoch:0062 train loss:0.499 acc:85.37 | val loss:0.705 acc:78.13
Epoch:0063 train loss:0.510 acc:84.05 | val loss:0.703 acc:78.13
Epoch:0064 train loss:0.494 acc:85.12 | val loss:0.701 acc:77.95
Epoch:0065 train loss:0.478 acc:86.07 | val loss:0.699 acc:77.76
Epoch:0066 train loss:0.475 acc:86.19 | val loss:0.698 acc:78.04
Epoch:0067 train loss:0.466 acc:85.75 | val loss:0.697 acc:78.13
Epoch:0068 train loss:0.453 acc:86.44 | val loss:0.695 acc:78.13
Epoch:0069 train loss:0.457 acc:84.99 | val loss:0.694 acc:78.32
Epoch:0070 train loss:0.413 acc:87.96 | val loss:0.693 acc:78.42
Epoch:0071 train loss:0.434 acc:87.07 | val loss:0.693 acc:78.70
Epoch:0072 train loss:0.421 acc:87.77 | val loss:0.693 acc:78.23
Epoch:0073 train loss:0.423 acc:87.77 | val loss:0.693 acc:78.23
Epoch:0074 train loss:0.410 acc:87.33 | val loss:0.694 acc:78.13
Epoch:0075 train loss:0.401 acc:88.65 | val loss:0.694 acc:78.04
Epoch:0076 train loss:0.407 acc:87.64 | val loss:0.693 acc:78.23
Epoch:0077 train loss:0.388 acc:87.77 | val loss:0.693 acc:78.32
Epoch:0078 train loss:0.380 acc:89.28 | val loss:0.693 acc:78.23
Epoch:0079 train loss:0.382 acc:88.90 | val loss:0.694 acc:78.42
Epoch:0080 train loss:0.374 acc:89.85 | val loss:0.694 acc:78.51
Epoch:0081 train loss:0.365 acc:89.28 | val loss:0.696 acc:78.32
Epoch:0082 train loss:0.356 acc:90.42 | val loss:0.697 acc:78.13
Epoch:0083 train loss:0.357 acc:89.72 | val loss:0.698 acc:78.04
Epoch:0084 train loss:0.363 acc:88.84 | val loss:0.699 acc:78.04
Epoch:0085 train loss:0.368 acc:88.97 | val loss:0.699 acc:78.23
