full-supervised.py --data citeseer --layer 64 --weight_decay 5e-6 --model GCNII --variant
Epoch:0001 train loss:1.793 acc:15.38 | val loss:1.785 acc:14.70
Epoch:0002 train loss:1.785 acc:15.38 | val loss:1.775 acc:34.02
Epoch:0003 train loss:1.776 acc:26.99 | val loss:1.763 acc:22.53
Epoch:0004 train loss:1.764 acc:25.79 | val loss:1.749 acc:22.62
Epoch:0005 train loss:1.751 acc:26.92 | val loss:1.735 acc:24.88
Epoch:0006 train loss:1.737 acc:28.37 | val loss:1.721 acc:27.24
Epoch:0007 train loss:1.720 acc:30.39 | val loss:1.707 acc:28.65
Epoch:0008 train loss:1.705 acc:35.18 | val loss:1.692 acc:30.54
Epoch:0009 train loss:1.695 acc:36.07 | val loss:1.678 acc:33.08
Epoch:0010 train loss:1.683 acc:36.13 | val loss:1.663 acc:37.51
Epoch:0011 train loss:1.660 acc:40.10 | val loss:1.647 acc:41.47
Epoch:0012 train loss:1.644 acc:42.43 | val loss:1.629 acc:46.28
Epoch:0013 train loss:1.628 acc:43.32 | val loss:1.611 acc:49.39
Epoch:0014 train loss:1.608 acc:45.27 | val loss:1.591 acc:53.06
Epoch:0015 train loss:1.579 acc:49.62 | val loss:1.570 acc:57.68
Epoch:0016 train loss:1.555 acc:53.59 | val loss:1.547 acc:62.49
Epoch:0017 train loss:1.535 acc:57.38 | val loss:1.523 acc:66.64
Epoch:0018 train loss:1.493 acc:62.74 | val loss:1.498 acc:69.09
Epoch:0019 train loss:1.460 acc:66.02 | val loss:1.470 acc:71.16
Epoch:0020 train loss:1.429 acc:67.53 | val loss:1.442 acc:72.38
Epoch:0021 train loss:1.399 acc:68.41 | val loss:1.413 acc:73.04
Epoch:0022 train loss:1.375 acc:68.35 | val loss:1.382 acc:73.89
Epoch:0023 train loss:1.342 acc:69.92 | val loss:1.351 acc:73.52
Epoch:0024 train loss:1.298 acc:70.81 | val loss:1.318 acc:74.18
Epoch:0025 train loss:1.265 acc:71.75 | val loss:1.285 acc:74.55
Epoch:0026 train loss:1.237 acc:70.87 | val loss:1.251 acc:74.93
Epoch:0027 train loss:1.188 acc:73.33 | val loss:1.217 acc:75.12
Epoch:0028 train loss:1.163 acc:73.08 | val loss:1.183 acc:76.06
Epoch:0029 train loss:1.120 acc:74.84 | val loss:1.150 acc:76.15
Epoch:0030 train loss:1.085 acc:74.59 | val loss:1.117 acc:76.25
Epoch:0031 train loss:1.051 acc:74.02 | val loss:1.085 acc:76.06
Epoch:0032 train loss:1.007 acc:75.66 | val loss:1.055 acc:76.06
Epoch:0033 train loss:0.987 acc:75.60 | val loss:1.025 acc:76.44
Epoch:0034 train loss:0.967 acc:75.28 | val loss:0.998 acc:76.44
Epoch:0035 train loss:0.927 acc:76.23 | val loss:0.971 acc:76.53
Epoch:0036 train loss:0.893 acc:76.10 | val loss:0.946 acc:76.44
Epoch:0037 train loss:0.860 acc:76.36 | val loss:0.922 acc:76.34
Epoch:0038 train loss:0.833 acc:77.87 | val loss:0.900 acc:76.53
