BASELINE
full-supervised.py --data cora --layer 64 --alpha 0.2 --weight_decay 1e-4 --model GCNII --variant
Epoch:0001 train loss:1.938 acc:18.20 | val loss:1.927 acc:29.90
Epoch:0002 train loss:1.928 acc:29.45 | val loss:1.914 acc:29.90
Epoch:0003 train loss:1.915 acc:30.12 | val loss:1.899 acc:29.90
Epoch:0004 train loss:1.899 acc:29.61 | val loss:1.881 acc:29.90
Epoch:0005 train loss:1.883 acc:29.45 | val loss:1.862 acc:29.90
Epoch:0006 train loss:1.866 acc:29.53 | val loss:1.843 acc:29.90
Epoch:0007 train loss:1.845 acc:29.45 | val loss:1.823 acc:29.90
Epoch:0008 train loss:1.828 acc:29.36 | val loss:1.805 acc:29.90
Epoch:0009 train loss:1.814 acc:29.45 | val loss:1.788 acc:29.90
Epoch:0010 train loss:1.794 acc:29.45 | val loss:1.773 acc:29.90
Epoch:0011 train loss:1.785 acc:29.36 | val loss:1.760 acc:29.90
Epoch:0012 train loss:1.773 acc:29.53 | val loss:1.747 acc:29.90
Epoch:0013 train loss:1.760 acc:29.36 | val loss:1.734 acc:29.90
Epoch:0014 train loss:1.759 acc:29.45 | val loss:1.719 acc:29.90
Epoch:0015 train loss:1.730 acc:29.70 | val loss:1.704 acc:29.90
Epoch:0016 train loss:1.730 acc:29.61 | val loss:1.688 acc:29.90
Epoch:0017 train loss:1.688 acc:30.70 | val loss:1.672 acc:30.03
Epoch:0018 train loss:1.689 acc:31.46 | val loss:1.655 acc:30.65
Epoch:0019 train loss:1.664 acc:32.55 | val loss:1.638 acc:32.91
Epoch:0020 train loss:1.638 acc:34.98 | val loss:1.619 acc:36.56
Epoch:0021 train loss:1.631 acc:37.84 | val loss:1.599 acc:40.33
Epoch:0022 train loss:1.608 acc:39.01 | val loss:1.577 acc:41.33
Epoch:0023 train loss:1.590 acc:41.11 | val loss:1.554 acc:41.96
Epoch:0024 train loss:1.568 acc:40.44 | val loss:1.529 acc:42.71
Epoch:0025 train loss:1.542 acc:42.79 | val loss:1.503 acc:43.72
