BASELINE
full-supervised.py --data cora --layer 64 --alpha 0.2 --weight_decay 1e-4 --model GCNII
Epoch:0001 train loss:1.935 acc:15.10 | val loss:1.922 acc:15.20
Epoch:0002 train loss:1.925 acc:17.62 | val loss:1.911 acc:29.90
Epoch:0003 train loss:1.913 acc:29.19 | val loss:1.897 acc:29.90
Epoch:0004 train loss:1.900 acc:29.53 | val loss:1.881 acc:29.90
Epoch:0005 train loss:1.884 acc:29.36 | val loss:1.863 acc:29.90
Epoch:0006 train loss:1.865 acc:29.36 | val loss:1.844 acc:29.90
Epoch:0007 train loss:1.850 acc:29.45 | val loss:1.825 acc:29.90
Epoch:0008 train loss:1.832 acc:29.36 | val loss:1.806 acc:29.90
Epoch:0009 train loss:1.812 acc:29.36 | val loss:1.789 acc:29.90
Epoch:0010 train loss:1.798 acc:29.36 | val loss:1.774 acc:29.90
Epoch:0011 train loss:1.793 acc:29.36 | val loss:1.761 acc:29.90
Epoch:0012 train loss:1.779 acc:29.36 | val loss:1.749 acc:29.90
Epoch:0013 train loss:1.771 acc:29.45 | val loss:1.736 acc:29.90
Epoch:0014 train loss:1.752 acc:29.53 | val loss:1.722 acc:29.90
Epoch:0015 train loss:1.731 acc:29.45 | val loss:1.706 acc:29.90
Epoch:0016 train loss:1.725 acc:29.78 | val loss:1.689 acc:29.90
Epoch:0017 train loss:1.701 acc:30.54 | val loss:1.672 acc:30.03
Epoch:0018 train loss:1.675 acc:30.79 | val loss:1.654 acc:30.40
Epoch:0019 train loss:1.664 acc:32.80 | val loss:1.636 acc:32.04
Epoch:0020 train loss:1.647 acc:34.23 | val loss:1.617 acc:35.43
Epoch:0021 train loss:1.636 acc:35.65 | val loss:1.597 acc:40.20
Epoch:0022 train loss:1.605 acc:38.42 | val loss:1.575 acc:41.33
Epoch:0023 train loss:1.587 acc:40.94 | val loss:1.552 acc:42.46
Epoch:0024 train loss:1.576 acc:41.02 | val loss:1.527 acc:43.34
Epoch:0025 train loss:1.538 acc:43.54 | val loss:1.501 acc:43.72
Epoch:0026 train loss:1.508 acc:44.55 | val loss:1.473 acc:44.60
Epoch:0027 train loss:1.495 acc:44.46 | val loss:1.446 acc:45.60
Epoch:0028 train loss:1.450 acc:47.23 | val loss:1.417 acc:47.11
Epoch:0029 train loss:1.437 acc:46.81 | val loss:1.388 acc:48.49
Epoch:0030 train loss:1.409 acc:48.15 | val loss:1.358 acc:50.38
Epoch:0031 train loss:1.392 acc:49.58 | val loss:1.328 acc:52.14
Epoch:0032 train loss:1.361 acc:49.58 | val loss:1.297 acc:54.52
Epoch:0033 train loss:1.337 acc:52.77 | val loss:1.266 acc:57.79
Epoch:0034 train loss:1.302 acc:54.45 | val loss:1.235 acc:61.18
Epoch:0035 train loss:1.270 acc:56.71 | val loss:1.204 acc:63.19
Epoch:0036 train loss:1.251 acc:58.89 | val loss:1.173 acc:65.33
Epoch:0037 train loss:1.208 acc:58.89 | val loss:1.143 acc:67.59
Epoch:0038 train loss:1.188 acc:60.32 | val loss:1.114 acc:69.97
Epoch:0039 train loss:1.176 acc:62.75 | val loss:1.085 acc:71.23
Epoch:0040 train loss:1.151 acc:61.33 | val loss:1.058 acc:71.48
Epoch:0041 train loss:1.130 acc:65.60 | val loss:1.031 acc:72.49
Epoch:0042 train loss:1.099 acc:64.77 | val loss:1.005 acc:73.74
Epoch:0043 train loss:1.075 acc:67.45 | val loss:0.981 acc:75.38
Epoch:0044 train loss:1.037 acc:69.71 | val loss:0.956 acc:76.01
Epoch:0045 train loss:1.024 acc:69.46 | val loss:0.932 acc:76.38
Epoch:0046 train loss:1.006 acc:70.05 | val loss:0.909 acc:76.88
Epoch:0047 train loss:0.973 acc:71.81 | val loss:0.887 acc:77.01
Epoch:0048 train loss:0.957 acc:69.63 | val loss:0.866 acc:77.26
Epoch:0049 train loss:0.913 acc:73.49 | val loss:0.846 acc:77.76
Epoch:0050 train loss:0.943 acc:69.97 | val loss:0.826 acc:79.15
Epoch:0051 train loss:0.933 acc:70.81 | val loss:0.808 acc:79.77
Epoch:0052 train loss:0.892 acc:73.74 | val loss:0.790 acc:80.28
Epoch:0053 train loss:0.865 acc:73.07 | val loss:0.774 acc:80.78
Epoch:0054 train loss:0.847 acc:75.08 | val loss:0.759 acc:81.16
Epoch:0055 train loss:0.837 acc:75.34 | val loss:0.744 acc:81.28
Epoch:0056 train loss:0.837 acc:75.59 | val loss:0.729 acc:81.16
Epoch:0057 train loss:0.816 acc:75.76 | val loss:0.716 acc:81.16
Epoch:0058 train loss:0.800 acc:76.26 | val loss:0.704 acc:81.16
Epoch:0059 train loss:0.790 acc:77.18 | val loss:0.692 acc:81.66
Epoch:0060 train loss:0.776 acc:76.85 | val loss:0.681 acc:81.91
Epoch:0061 train loss:0.767 acc:77.52 | val loss:0.670 acc:81.91
Epoch:0062 train loss:0.769 acc:77.43 | val loss:0.660 acc:82.04
Epoch:0063 train loss:0.769 acc:78.02 | val loss:0.650 acc:82.29
Epoch:0064 train loss:0.734 acc:78.78 | val loss:0.641 acc:82.41
Epoch:0065 train loss:0.717 acc:80.03 | val loss:0.632 acc:82.41
Epoch:0066 train loss:0.726 acc:78.69 | val loss:0.624 acc:82.54
Epoch:0067 train loss:0.696 acc:79.19 | val loss:0.617 acc:82.54
Epoch:0068 train loss:0.723 acc:79.28 | val loss:0.609 acc:82.79
Epoch:0069 train loss:0.706 acc:79.87 | val loss:0.602 acc:82.79
Epoch:0070 train loss:0.690 acc:79.28 | val loss:0.596 acc:83.04
Epoch:0071 train loss:0.692 acc:80.03 | val loss:0.590 acc:83.17
Epoch:0072 train loss:0.699 acc:80.29 | val loss:0.585 acc:83.42
Epoch:0073 train loss:0.667 acc:81.80 | val loss:0.578 acc:83.67
Epoch:0074 train loss:0.669 acc:80.20 | val loss:0.572 acc:83.67
Epoch:0075 train loss:0.656 acc:81.04 | val loss:0.566 acc:83.42
Epoch:0076 train loss:0.650 acc:81.71 | val loss:0.562 acc:83.17
Epoch:0077 train loss:0.680 acc:78.78 | val loss:0.557 acc:83.29
Epoch:0078 train loss:0.658 acc:79.03 | val loss:0.553 acc:83.54
Epoch:0079 train loss:0.675 acc:80.12 | val loss:0.548 acc:83.92
Epoch:0080 train loss:0.637 acc:80.79 | val loss:0.544 acc:84.30
Epoch:0081 train loss:0.597 acc:84.06 | val loss:0.541 acc:85.43
Epoch:0082 train loss:0.646 acc:81.63 | val loss:0.537 acc:85.80
Epoch:0083 train loss:0.609 acc:82.72 | val loss:0.532 acc:85.68
Epoch:0084 train loss:0.592 acc:83.89 | val loss:0.527 acc:85.93
Epoch:0085 train loss:0.601 acc:82.97 | val loss:0.523 acc:85.43
Epoch:0086 train loss:0.602 acc:82.47 | val loss:0.519 acc:85.05
Epoch:0087 train loss:0.602 acc:83.98 | val loss:0.515 acc:84.92
Epoch:0088 train loss:0.586 acc:82.47 | val loss:0.511 acc:85.55
Epoch:0089 train loss:0.603 acc:80.62 | val loss:0.507 acc:85.43
Epoch:0090 train loss:0.596 acc:82.55 | val loss:0.504 acc:85.30
Epoch:0091 train loss:0.576 acc:83.05 | val loss:0.502 acc:86.06
Epoch:0092 train loss:0.593 acc:82.55 | val loss:0.499 acc:86.18
Epoch:0093 train loss:0.614 acc:81.80 | val loss:0.497 acc:86.68
Epoch:0094 train loss:0.564 acc:84.40 | val loss:0.495 acc:87.06
Epoch:0095 train loss:0.597 acc:82.89 | val loss:0.494 acc:87.19
Epoch:0096 train loss:0.557 acc:84.98 | val loss:0.493 acc:87.06
Epoch:0097 train loss:0.567 acc:84.65 | val loss:0.491 acc:87.31
Epoch:0098 train loss:0.575 acc:85.07 | val loss:0.488 acc:87.19
Epoch:0099 train loss:0.558 acc:84.90 | val loss:0.485 acc:87.19
Epoch:0100 train loss:0.575 acc:84.48 | val loss:0.482 acc:86.68
Epoch:0101 train loss:0.540 acc:85.15 | val loss:0.480 acc:86.56
Epoch:0102 train loss:0.539 acc:83.81 | val loss:0.478 acc:86.18
Epoch:0103 train loss:0.553 acc:83.89 | val loss:0.476 acc:85.80
Epoch:0104 train loss:0.542 acc:85.74 | val loss:0.474 acc:86.43
Epoch:0105 train loss:0.563 acc:82.97 | val loss:0.472 acc:86.56
Epoch:0106 train loss:0.540 acc:85.65 | val loss:0.471 acc:86.93
Epoch:0107 train loss:0.547 acc:84.06 | val loss:0.470 acc:87.69
Epoch:0108 train loss:0.530 acc:85.57 | val loss:0.469 acc:88.19
Epoch:0109 train loss:0.539 acc:85.91 | val loss:0.467 acc:88.32
Epoch:0110 train loss:0.552 acc:84.23 | val loss:0.464 acc:88.19
Epoch:0111 train loss:0.522 acc:85.91 | val loss:0.463 acc:86.31
Epoch:0112 train loss:0.495 acc:85.99 | val loss:0.462 acc:86.06
Epoch:0113 train loss:0.528 acc:84.48 | val loss:0.460 acc:86.43
Epoch:0114 train loss:0.525 acc:84.65 | val loss:0.458 acc:86.81
Epoch:0115 train loss:0.523 acc:85.74 | val loss:0.455 acc:87.56
Epoch:0116 train loss:0.528 acc:84.14 | val loss:0.453 acc:88.32
Epoch:0117 train loss:0.521 acc:86.49 | val loss:0.451 acc:88.32
Epoch:0118 train loss:0.519 acc:86.58 | val loss:0.451 acc:87.94
Epoch:0119 train loss:0.504 acc:85.49 | val loss:0.451 acc:87.81
Epoch:0120 train loss:0.489 acc:86.24 | val loss:0.450 acc:88.07
Epoch:0121 train loss:0.517 acc:85.99 | val loss:0.449 acc:87.81
Epoch:0122 train loss:0.510 acc:85.91 | val loss:0.448 acc:88.07
Epoch:0123 train loss:0.498 acc:86.74 | val loss:0.446 acc:88.32
Epoch:0124 train loss:0.522 acc:84.40 | val loss:0.447 acc:88.57
Epoch:0125 train loss:0.514 acc:86.91 | val loss:0.447 acc:87.94
Epoch:0126 train loss:0.476 acc:87.58 | val loss:0.445 acc:88.19
Epoch:0127 train loss:0.531 acc:85.91 | val loss:0.443 acc:87.81
Epoch:0128 train loss:0.474 acc:87.92 | val loss:0.441 acc:87.94
Epoch:0129 train loss:0.523 acc:85.99 | val loss:0.441 acc:88.32
Epoch:0130 train loss:0.496 acc:87.33 | val loss:0.442 acc:88.07
Epoch:0131 train loss:0.469 acc:86.16 | val loss:0.440 acc:88.44
Epoch:0132 train loss:0.505 acc:86.66 | val loss:0.438 acc:88.57
Epoch:0133 train loss:0.486 acc:87.33 | val loss:0.434 acc:88.19
Epoch:0134 train loss:0.505 acc:85.57 | val loss:0.432 acc:87.69
Epoch:0135 train loss:0.481 acc:87.67 | val loss:0.431 acc:87.81
Epoch:0136 train loss:0.482 acc:86.83 | val loss:0.430 acc:87.69
Epoch:0137 train loss:0.501 acc:86.74 | val loss:0.430 acc:87.31
Epoch:0138 train loss:0.469 acc:88.26 | val loss:0.429 acc:87.56
Epoch:0139 train loss:0.477 acc:86.49 | val loss:0.428 acc:87.69
Epoch:0140 train loss:0.481 acc:86.33 | val loss:0.427 acc:88.07
Epoch:0141 train loss:0.467 acc:87.08 | val loss:0.427 acc:88.32
Epoch:0142 train loss:0.490 acc:85.07 | val loss:0.426 acc:88.19
Epoch:0143 train loss:0.505 acc:86.49 | val loss:0.424 acc:88.32
Epoch:0144 train loss:0.493 acc:85.99 | val loss:0.422 acc:88.19
Epoch:0145 train loss:0.490 acc:86.58 | val loss:0.421 acc:88.19
Epoch:0146 train loss:0.475 acc:86.49 | val loss:0.421 acc:87.94
Epoch:0147 train loss:0.477 acc:87.33 | val loss:0.420 acc:87.81
Epoch:0148 train loss:0.457 acc:87.08 | val loss:0.419 acc:87.56
Epoch:0149 train loss:0.458 acc:88.09 | val loss:0.418 acc:87.81
Epoch:0150 train loss:0.479 acc:87.08 | val loss:0.417 acc:87.81
Epoch:0151 train loss:0.480 acc:86.49 | val loss:0.416 acc:88.19
Epoch:0152 train loss:0.455 acc:87.25 | val loss:0.416 acc:88.57
Epoch:0153 train loss:0.477 acc:87.00 | val loss:0.417 acc:88.69
Epoch:0154 train loss:0.435 acc:88.42 | val loss:0.417 acc:88.82
Epoch:0155 train loss:0.463 acc:87.25 | val loss:0.417 acc:88.44
Epoch:0156 train loss:0.476 acc:86.33 | val loss:0.415 acc:88.57
