full-supervised.py --data cornell --layer 16 --lamda 1 --weight_decay 1e-3 --model GCNII
Epoch:0001 train loss:1.618 acc:17.24 | val loss:1.596 acc:25.42
Epoch:0002 train loss:1.596 acc:34.48 | val loss:1.575 acc:54.24
Epoch:0003 train loss:1.573 acc:54.02 | val loss:1.547 acc:54.24
Epoch:0004 train loss:1.541 acc:56.32 | val loss:1.515 acc:54.24
Epoch:0005 train loss:1.501 acc:56.32 | val loss:1.478 acc:54.24
Epoch:0006 train loss:1.464 acc:56.32 | val loss:1.437 acc:54.24
Epoch:0007 train loss:1.427 acc:56.32 | val loss:1.396 acc:54.24
Epoch:0008 train loss:1.368 acc:56.32 | val loss:1.356 acc:54.24
Epoch:0009 train loss:1.327 acc:56.32 | val loss:1.321 acc:54.24
Epoch:0010 train loss:1.274 acc:56.32 | val loss:1.298 acc:54.24
Epoch:0011 train loss:1.251 acc:56.32 | val loss:1.289 acc:54.24
Epoch:0012 train loss:1.212 acc:56.32 | val loss:1.294 acc:54.24
Epoch:0013 train loss:1.187 acc:56.32 | val loss:1.304 acc:54.24
Epoch:0014 train loss:1.198 acc:56.32 | val loss:1.310 acc:54.24
Epoch:0015 train loss:1.189 acc:56.32 | val loss:1.308 acc:54.24
Epoch:0016 train loss:1.199 acc:56.32 | val loss:1.298 acc:54.24
Epoch:0017 train loss:1.198 acc:56.32 | val loss:1.283 acc:54.24
Epoch:0018 train loss:1.168 acc:56.32 | val loss:1.266 acc:54.24
Epoch:0019 train loss:1.175 acc:56.32 | val loss:1.251 acc:54.24
Epoch:0020 train loss:1.114 acc:56.32 | val loss:1.240 acc:54.24
Epoch:0021 train loss:1.149 acc:56.32 | val loss:1.233 acc:54.24
Epoch:0022 train loss:1.126 acc:56.32 | val loss:1.228 acc:54.24
Epoch:0023 train loss:1.158 acc:56.32 | val loss:1.226 acc:54.24
Epoch:0024 train loss:1.155 acc:56.32 | val loss:1.224 acc:54.24
Epoch:0025 train loss:1.162 acc:56.32 | val loss:1.223 acc:54.24
Epoch:0026 train loss:1.134 acc:56.32 | val loss:1.221 acc:54.24
Epoch:0027 train loss:1.175 acc:56.32 | val loss:1.220 acc:54.24
Epoch:0028 train loss:1.156 acc:56.32 | val loss:1.219 acc:54.24
