full-supervised.py --data pubmed --layer 64 --alpha 0.1 --weight_decay 5e-6 --model GCNII
Epoch:0001 train loss:1.104 acc:21.80 | val loss:1.094 acc:41.95
Epoch:0002 train loss:1.093 acc:42.91 | val loss:1.084 acc:47.26
Epoch:0003 train loss:1.084 acc:45.04 | val loss:1.075 acc:56.15
Epoch:0004 train loss:1.075 acc:46.00 | val loss:1.065 acc:61.92
Epoch:0005 train loss:1.064 acc:48.97 | val loss:1.054 acc:64.44
Epoch:0006 train loss:1.056 acc:49.70 | val loss:1.043 acc:62.19
Epoch:0007 train loss:1.047 acc:48.74 | val loss:1.034 acc:62.11
Epoch:0008 train loss:1.036 acc:50.23 | val loss:1.025 acc:63.90
Epoch:0009 train loss:1.029 acc:50.42 | val loss:1.017 acc:65.09
Epoch:0010 train loss:1.021 acc:52.86 | val loss:1.007 acc:64.75
Epoch:0011 train loss:1.016 acc:53.69 | val loss:0.995 acc:64.39
Epoch:0012 train loss:1.000 acc:54.67 | val loss:0.981 acc:64.39
Epoch:0013 train loss:0.988 acc:56.31 | val loss:0.966 acc:64.74
Epoch:0014 train loss:0.974 acc:56.91 | val loss:0.950 acc:65.13
Epoch:0015 train loss:0.956 acc:58.55 | val loss:0.932 acc:65.17
Epoch:0016 train loss:0.946 acc:58.27 | val loss:0.915 acc:65.25
Epoch:0017 train loss:0.925 acc:60.17 | val loss:0.896 acc:65.39
Epoch:0018 train loss:0.905 acc:61.30 | val loss:0.876 acc:65.90
Epoch:0019 train loss:0.889 acc:62.53 | val loss:0.854 acc:67.00
Epoch:0020 train loss:0.873 acc:63.29 | val loss:0.830 acc:68.73
Epoch:0021 train loss:0.853 acc:64.93 | val loss:0.806 acc:70.63
Epoch:0022 train loss:0.830 acc:65.47 | val loss:0.781 acc:71.98
Epoch:0023 train loss:0.811 acc:66.67 | val loss:0.756 acc:73.55
Epoch:0024 train loss:0.786 acc:68.19 | val loss:0.730 acc:75.18
Epoch:0025 train loss:0.767 acc:69.14 | val loss:0.704 acc:76.39
Epoch:0026 train loss:0.742 acc:70.93 | val loss:0.678 acc:77.40
Epoch:0027 train loss:0.717 acc:71.84 | val loss:0.653 acc:78.30
Epoch:0028 train loss:0.698 acc:73.17 | val loss:0.628 acc:79.57
Epoch:0029 train loss:0.682 acc:73.80 | val loss:0.604 acc:80.22
Epoch:0030 train loss:0.657 acc:75.50 | val loss:0.580 acc:80.46
Epoch:0031 train loss:0.644 acc:75.96 | val loss:0.558 acc:80.71
Epoch:0032 train loss:0.622 acc:76.54 | val loss:0.538 acc:81.44
Epoch:0033 train loss:0.620 acc:77.03 | val loss:0.520 acc:81.19
Epoch:0034 train loss:0.597 acc:77.54 | val loss:0.506 acc:81.20
Epoch:0035 train loss:0.578 acc:78.54 | val loss:0.491 acc:81.95
Epoch:0036 train loss:0.575 acc:78.79 | val loss:0.482 acc:82.31
Epoch:0037 train loss:0.567 acc:79.11 | val loss:0.475 acc:81.95
Epoch:0038 train loss:0.559 acc:79.19 | val loss:0.467 acc:82.35
Epoch:0039 train loss:0.540 acc:79.94 | val loss:0.459 acc:82.74
Epoch:0040 train loss:0.546 acc:79.77 | val loss:0.454 acc:82.73
Epoch:0041 train loss:0.529 acc:80.29 | val loss:0.451 acc:82.69
Epoch:0042 train loss:0.529 acc:81.02 | val loss:0.446 acc:83.11
Epoch:0043 train loss:0.528 acc:80.64 | val loss:0.443 acc:83.34
Epoch:0044 train loss:0.516 acc:80.85 | val loss:0.440 acc:83.55
Epoch:0045 train loss:0.506 acc:81.75 | val loss:0.439 acc:83.38
Epoch:0046 train loss:0.509 acc:81.77 | val loss:0.438 acc:83.42
Epoch:0047 train loss:0.509 acc:81.83 | val loss:0.435 acc:83.63
Epoch:0048 train loss:0.509 acc:82.09 | val loss:0.432 acc:83.55
Epoch:0049 train loss:0.501 acc:81.71 | val loss:0.431 acc:83.74
Epoch:0050 train loss:0.502 acc:82.01 | val loss:0.429 acc:83.91
Epoch:0051 train loss:0.497 acc:82.24 | val loss:0.426 acc:84.10
Epoch:0052 train loss:0.490 acc:82.47 | val loss:0.425 acc:84.28
Epoch:0053 train loss:0.488 acc:82.19 | val loss:0.424 acc:84.44
Epoch:0054 train loss:0.488 acc:82.41 | val loss:0.423 acc:84.31
Epoch:0055 train loss:0.479 acc:82.99 | val loss:0.424 acc:83.96
Epoch:0056 train loss:0.480 acc:83.25 | val loss:0.423 acc:84.17
Epoch:0057 train loss:0.483 acc:82.69 | val loss:0.421 acc:84.44
Epoch:0058 train loss:0.472 acc:83.02 | val loss:0.419 acc:84.69
Epoch:0059 train loss:0.476 acc:82.83 | val loss:0.417 acc:84.82
Epoch:0060 train loss:0.476 acc:83.19 | val loss:0.417 acc:84.63
