full-supervised.py --data chameleon --layer 4 --lamda 1.5 --alpha 0.2 --weight_decay 5e-4 --model GCNII --variant
Epoch:0001 train loss:1.607 acc:21.79 | val loss:1.602 acc:24.42
Epoch:0002 train loss:1.606 acc:22.07 | val loss:1.601 acc:24.42
Epoch:0003 train loss:1.605 acc:22.07 | val loss:1.600 acc:24.42
Epoch:0004 train loss:1.603 acc:22.07 | val loss:1.598 acc:24.42
Epoch:0005 train loss:1.601 acc:22.25 | val loss:1.596 acc:28.40
Epoch:0006 train loss:1.598 acc:26.47 | val loss:1.592 acc:29.08
Epoch:0007 train loss:1.593 acc:29.85 | val loss:1.588 acc:22.91
Epoch:0008 train loss:1.587 acc:25.73 | val loss:1.582 acc:19.34
Epoch:0009 train loss:1.580 acc:22.99 | val loss:1.574 acc:20.30
Epoch:0010 train loss:1.568 acc:22.34 | val loss:1.563 acc:25.51
Epoch:0011 train loss:1.549 acc:28.94 | val loss:1.547 acc:30.59
Epoch:0012 train loss:1.532 acc:32.69 | val loss:1.526 acc:31.69
Epoch:0013 train loss:1.506 acc:36.08 | val loss:1.502 acc:31.69
Epoch:0014 train loss:1.479 acc:35.16 | val loss:1.476 acc:37.72
Epoch:0015 train loss:1.444 acc:41.94 | val loss:1.460 acc:33.61
Epoch:0016 train loss:1.418 acc:38.74 | val loss:1.425 acc:43.48
Epoch:0017 train loss:1.384 acc:45.88 | val loss:1.400 acc:43.62
Epoch:0018 train loss:1.352 acc:45.88 | val loss:1.381 acc:39.64
Epoch:0019 train loss:1.346 acc:43.13 | val loss:1.353 acc:44.86
Epoch:0020 train loss:1.291 acc:47.07 | val loss:1.344 acc:44.99
Epoch:0021 train loss:1.269 acc:46.61 | val loss:1.326 acc:48.56
Epoch:0022 train loss:1.246 acc:46.43 | val loss:1.314 acc:45.13
Epoch:0023 train loss:1.219 acc:44.87 | val loss:1.294 acc:47.19
Epoch:0024 train loss:1.156 acc:50.64 | val loss:1.299 acc:48.15
Epoch:0025 train loss:1.215 acc:48.08 | val loss:1.315 acc:43.90
Epoch:0026 train loss:1.194 acc:45.97 | val loss:1.297 acc:47.05
Epoch:0027 train loss:1.133 acc:53.57 | val loss:1.266 acc:49.93
Epoch:0028 train loss:1.109 acc:51.10 | val loss:1.267 acc:49.93
Epoch:0029 train loss:1.120 acc:51.47 | val loss:1.261 acc:49.38
Epoch:0030 train loss:1.066 acc:57.23 | val loss:1.274 acc:48.29
Epoch:0031 train loss:1.088 acc:57.42 | val loss:1.253 acc:49.11
Epoch:0032 train loss:1.014 acc:57.42 | val loss:1.247 acc:48.97
Epoch:0033 train loss:1.043 acc:57.78 | val loss:1.242 acc:50.07
Epoch:0034 train loss:0.995 acc:60.35 | val loss:1.247 acc:51.17
Epoch:0035 train loss:0.999 acc:59.34 | val loss:1.267 acc:51.44
Epoch:0036 train loss:0.978 acc:61.08 | val loss:1.255 acc:51.44
Epoch:0037 train loss:0.952 acc:61.72 | val loss:1.224 acc:51.03
Epoch:0038 train loss:0.950 acc:63.19 | val loss:1.212 acc:51.71
Epoch:0039 train loss:0.936 acc:62.09 | val loss:1.218 acc:52.67
Epoch:0040 train loss:0.936 acc:62.27 | val loss:1.275 acc:48.42
Epoch:0041 train loss:0.905 acc:64.47 | val loss:1.275 acc:50.89
Epoch:0042 train loss:0.895 acc:64.38 | val loss:1.209 acc:52.67
Epoch:0043 train loss:0.880 acc:65.20 | val loss:1.194 acc:52.95
Epoch:0044 train loss:0.845 acc:67.12 | val loss:1.217 acc:51.71
Epoch:0045 train loss:0.841 acc:68.41 | val loss:1.259 acc:51.30
