

TE

full-supervised.py --data film --layer 4 --weight_decay 7e-3 --model GGCN --hidden 32 --dropout 0 --decay_rate 1.2
Epoch:0001 train loss:1.604 acc:23.22 | val loss:1.594 acc:25.82
Epoch:0002 train loss:1.594 acc:26.04 | val loss:1.585 acc:25.82
Epoch:0003 train loss:1.586 acc:26.04 | val loss:1.577 acc:25.82
Epoch:0004 train loss:1.580 acc:26.04 | val loss:1.571 acc:25.82
Epoch:0005 train loss:1.575 acc:26.04 | val loss:1.566 acc:25.82
Epoch:0006 train loss:1.572 acc:26.04 | val loss:1.562 acc:25.90
Epoch:0007 train loss:1.570 acc:26.15 | val loss:1.560 acc:26.19
Epoch:0008 train loss:1.568 acc:26.34 | val loss:1.557 acc:26.48
Epoch:0009 train loss:1.566 acc:26.73 | val loss:1.554 acc:26.73
Epoch:0010 train loss:1.563 acc:27.06 | val loss:1.551 acc:27.14
Epoch:0011 train loss:1.560 acc:27.69 | val loss:1.548 acc:27.26
Epoch:0012 train loss:1.556 acc:27.82 | val loss:1.545 acc:27.43
Epoch:0013 train loss:1.552 acc:28.18 | val loss:1.541 acc:28.66
Epoch:0014 train loss:1.547 acc:28.37 | val loss:1.537 acc:28.87
Epoch:0015 train loss:1.543 acc:28.67 | val loss:1.532 acc:29.77
Epoch:0016 train loss:1.538 acc:28.92 | val loss:1.527 acc:30.43
Epoch:0017 train loss:1.532 acc:29.14 | val loss:1.521 acc:30.67
Epoch:0018 train loss:1.525 acc:29.61 | val loss:1.514 acc:31.50
Epoch:0019 train loss:1.518 acc:30.24 | val loss:1.507 acc:31.87
Epoch:0020 train loss:1.511 acc:31.80 | val loss:1.500 acc:32.07
Epoch:0021 train loss:1.503 acc:32.04 | val loss:1.493 acc:32.36
Epoch:0022 train loss:1.495 acc:32.51 | val loss:1.486 acc:32.77
Epoch:0023 train loss:1.487 acc:33.36 | val loss:1.479 acc:33.51
Epoch:0024 train loss:1.480 acc:33.61 | val loss:1.473 acc:34.13
Epoch:0025 train loss:1.472 acc:33.88 | val loss:1.468 acc:34.29
Epoch:0026 train loss:1.466 acc:34.62 | val loss:1.463 acc:34.33
Epoch:0027 train loss:1.459 acc:34.62 | val loss:1.459 acc:35.03
Epoch:0028 train loss:1.454 acc:35.17 | val loss:1.455 acc:35.94
Epoch:0029 train loss:1.448 acc:35.72 | val loss:1.452 acc:36.51
Epoch:0030 train loss:1.443 acc:35.99 | val loss:1.448 acc:36.47
Epoch:0031 train loss:1.439 acc:36.10 | val loss:1.445 acc:36.60
Epoch:0032 train loss:1.435 acc:36.40 | val loss:1.443 acc:36.72
Epoch:0033 train loss:1.431 acc:36.92 | val loss:1.441 acc:36.55
Epoch:0034 train loss:1.427 acc:37.39 | val loss:1.439 acc:36.55
Epoch:0035 train loss:1.423 acc:37.80 | val loss:1.437 acc:36.88
Epoch:0036 train loss:1.419 acc:38.29 | val loss:1.435 acc:37.29
Epoch:0037 train loss:1.416 acc:38.46 | val loss:1.433 acc:37.42
Epoch:0038 train loss:1.412 acc:38.98 | val loss:1.430 acc:37.46
Epoch:0039 train loss:1.409 acc:38.98 | val loss:1.427 acc:37.62
Epoch:0040 train loss:1.405 acc:39.09 | val loss:1.426 acc:36.92
Epoch:0041 train loss:1.402 acc:39.34 | val loss:1.423 acc:38.57
Epoch:0042 train loss:1.398 acc:38.68 | val loss:1.421 acc:37.54
Epoch:0043 train loss:1.394 acc:39.23 | val loss:1.419 acc:37.50
Epoch:0044 train loss:1.390 acc:39.14 | val loss:1.417 acc:38.49
Epoch:0045 train loss:1.387 acc:39.53 | val loss:1.416 acc:36.72
Epoch:0046 train loss:1.384 acc:39.25 | val loss:1.412 acc:38.69
Epoch:0047 train loss:1.380 acc:39.45 | val loss:1.410 acc:38.49
Epoch:0048 train loss:1.376 acc:39.53 | val loss:1.410 acc:37.38
Epoch:0049 train loss:1.374 acc:39.58 | val loss:1.407 acc:38.73
Epoch:0050 train loss:1.370 acc:40.16 | val loss:1.405 acc:37.91
Epoch:0051 train loss:1.366 acc:39.75 | val loss:1.403 acc:38.45
Epoch:0052 train loss:1.362 acc:40.38 | val loss:1.401 acc:39.10
Epoch:0053 train loss:1.359 acc:40.32 | val loss:1.401 acc:38.03
Epoch:0054 train loss:1.357 acc:40.38 | val loss:1.400 acc:39.14
Epoch:0055 train loss:1.354 acc:40.87 | val loss:1.399 acc:37.50
Epoch:0056 train loss:1.351 acc:40.08 | val loss:1.397 acc:38.69
Epoch:0057 train loss:1.346 acc:40.76 | val loss:1.397 acc:39.02
Epoch:0058 train loss:1.344 acc:41.20 | val loss:1.397 acc:37.71
Epoch:0059 train loss:1.344 acc:40.41 | val loss:1.394 acc:38.98
Epoch:0060 train loss:1.339 acc:41.42 | val loss:1.394 acc:38.86
Epoch:0061 train loss:1.336 acc:41.53 | val loss:1.394 acc:37.58
Epoch:0062 train loss:1.336 acc:40.57 | val loss:1.392 acc:38.86
Epoch:0063 train loss:1.332 acc:42.00 | val loss:1.391 acc:38.53
Epoch:0064 train loss:1.329 acc:41.97 | val loss:1.391 acc:38.08
Epoch:0065 train loss:1.327 acc:41.37 | val loss:1.391 acc:38.45
Epoch:0066 train loss:1.326 acc:42.46 | val loss:1.391 acc:37.91
Epoch:0067 train loss:1.324 acc:41.34 | val loss:1.389 acc:38.36
Epoch:0068 train loss:1.321 acc:42.46 | val loss:1.388 acc:38.24
Epoch:0069 train loss:1.318 acc:42.46 | val loss:1.388 acc:37.87
Epoch:0070 train loss:1.317 acc:42.08 | val loss:1.387 acc:38.32
Epoch:0071 train loss:1.315 acc:43.12 | val loss:1.388 acc:37.87
Epoch:0072 train loss:1.315 acc:42.19 | val loss:1.387 acc:38.94
Epoch:0073 train loss:1.312 acc:43.42 | val loss:1.386 acc:37.58
