full-supervised.py --data chameleon --layer 5 --weight_decay 1e-2 --model GGCN --hidden 32 --dropout 0.3 --decay_rate 0.8 
Epoch:0001 train loss:1.615 acc:19.96 | val loss:1.605 acc:20.30
Epoch:0002 train loss:1.605 acc:19.96 | val loss:1.599 acc:19.62
Epoch:0003 train loss:1.599 acc:23.17 | val loss:1.595 acc:33.47
Epoch:0004 train loss:1.595 acc:33.15 | val loss:1.593 acc:27.98
Epoch:0005 train loss:1.595 acc:27.93 | val loss:1.592 acc:26.06
Epoch:0006 train loss:1.592 acc:25.09 | val loss:1.592 acc:25.10
Epoch:0007 train loss:1.593 acc:23.90 | val loss:1.593 acc:25.51
Epoch:0008 train loss:1.593 acc:24.45 | val loss:1.593 acc:27.02
Epoch:0009 train loss:1.594 acc:24.91 | val loss:1.593 acc:28.81
Epoch:0010 train loss:1.592 acc:27.75 | val loss:1.593 acc:31.69
Epoch:0011 train loss:1.593 acc:30.77 | val loss:1.593 acc:34.71
Epoch:0012 train loss:1.593 acc:30.49 | val loss:1.593 acc:33.61
Epoch:0013 train loss:1.594 acc:29.76 | val loss:1.592 acc:35.12
Epoch:0014 train loss:1.592 acc:30.95 | val loss:1.591 acc:34.43
Epoch:0015 train loss:1.591 acc:31.41 | val loss:1.590 acc:31.82
Epoch:0016 train loss:1.592 acc:29.95 | val loss:1.589 acc:31.55
Epoch:0017 train loss:1.589 acc:31.04 | val loss:1.588 acc:31.69
Epoch:0018 train loss:1.589 acc:29.95 | val loss:1.586 acc:33.20
Epoch:0019 train loss:1.586 acc:31.32 | val loss:1.585 acc:33.74
Epoch:0020 train loss:1.583 acc:32.05 | val loss:1.583 acc:33.88
Epoch:0021 train loss:1.583 acc:31.14 | val loss:1.582 acc:34.29
Epoch:0022 train loss:1.580 acc:31.96 | val loss:1.580 acc:33.47
Epoch:0023 train loss:1.577 acc:32.69 | val loss:1.578 acc:32.24
Epoch:0024 train loss:1.577 acc:31.68 | val loss:1.577 acc:31.28
Epoch:0025 train loss:1.574 acc:30.95 | val loss:1.575 acc:31.28
Epoch:0026 train loss:1.571 acc:31.68 | val loss:1.574 acc:31.28
Epoch:0027 train loss:1.567 acc:32.05 | val loss:1.572 acc:33.33
Epoch:0028 train loss:1.564 acc:33.15 | val loss:1.569 acc:34.43
Epoch:0029 train loss:1.560 acc:36.54 | val loss:1.566 acc:34.43
Epoch:0030 train loss:1.558 acc:35.26 | val loss:1.563 acc:34.29
Epoch:0031 train loss:1.550 acc:34.25 | val loss:1.560 acc:34.02
Epoch:0032 train loss:1.546 acc:34.71 | val loss:1.556 acc:34.02
Epoch:0033 train loss:1.545 acc:34.16 | val loss:1.552 acc:34.57
Epoch:0034 train loss:1.540 acc:35.81 | val loss:1.549 acc:34.71
Epoch:0035 train loss:1.533 acc:36.36 | val loss:1.545 acc:34.57
Epoch:0036 train loss:1.527 acc:37.45 | val loss:1.540 acc:34.57
Epoch:0037 train loss:1.518 acc:37.64 | val loss:1.536 acc:34.57
Epoch:0038 train loss:1.514 acc:37.18 | val loss:1.532 acc:34.71
Epoch:0039 train loss:1.511 acc:37.91 | val loss:1.527 acc:35.12
Epoch:0040 train loss:1.497 acc:38.74 | val loss:1.522 acc:36.08
Epoch:0041 train loss:1.491 acc:42.40 | val loss:1.517 acc:37.45
Epoch:0042 train loss:1.479 acc:41.85 | val loss:1.510 acc:36.08
Epoch:0043 train loss:1.472 acc:39.93 | val loss:1.502 acc:36.49
Epoch:0044 train loss:1.467 acc:37.82 | val loss:1.494 acc:38.68
Epoch:0045 train loss:1.460 acc:41.67 | val loss:1.487 acc:41.98
Epoch:0046 train loss:1.446 acc:43.59 | val loss:1.478 acc:40.05
Epoch:0047 train loss:1.436 acc:43.32 | val loss:1.470 acc:39.09
Epoch:0048 train loss:1.428 acc:41.76 | val loss:1.463 acc:40.47
Epoch:0049 train loss:1.409 acc:44.23 | val loss:1.456 acc:43.76
Epoch:0050 train loss:1.418 acc:43.77 | val loss:1.449 acc:43.21
Epoch:0051 train loss:1.395 acc:45.70 | val loss:1.442 acc:43.62
Epoch:0052 train loss:1.385 acc:45.42 | val loss:1.436 acc:42.66
Epoch:0053 train loss:1.371 acc:46.52 | val loss:1.430 acc:42.25
Epoch:0054 train loss:1.369 acc:45.70 | val loss:1.424 acc:42.52
Epoch:0055 train loss:1.363 acc:44.69 | val loss:1.414 acc:44.99
Epoch:0056 train loss:1.348 acc:45.24 | val loss:1.407 acc:45.27
Epoch:0057 train loss:1.336 acc:44.96 | val loss:1.400 acc:45.40
Epoch:0058 train loss:1.332 acc:46.52 | val loss:1.396 acc:45.54
Epoch:0059 train loss:1.321 acc:46.15 | val loss:1.391 acc:45.95
Epoch:0060 train loss:1.320 acc:47.62 | val loss:1.381 acc:46.78
Epoch:0061 train loss:1.299 acc:47.80 | val loss:1.375 acc:46.36
Epoch:0062 train loss:1.291 acc:49.45 | val loss:1.369 acc:46.09
Epoch:0063 train loss:1.300 acc:46.52 | val loss:1.363 acc:46.36
Epoch:0064 train loss:1.276 acc:48.08 | val loss:1.361 acc:47.33
Epoch:0065 train loss:1.285 acc:50.00 | val loss:1.356 acc:46.78
Epoch:0066 train loss:1.268 acc:47.53 | val loss:1.348 acc:45.82
Epoch:0067 train loss:1.242 acc:50.09 | val loss:1.342 acc:47.74
Epoch:0068 train loss:1.262 acc:50.00 | val loss:1.345 acc:47.46
Epoch:0069 train loss:1.253 acc:48.53 | val loss:1.333 acc:47.19
Epoch:0070 train loss:1.252 acc:51.01 | val loss:1.338 acc:46.23
Epoch:0071 train loss:1.244 acc:49.27 | val loss:1.324 acc:48.15
Epoch:0072 train loss:1.217 acc:52.93 | val loss:1.324 acc:47.74
Epoch:0073 train loss:1.208 acc:52.84 | val loss:1.318 acc:48.01
Epoch:0074 train loss:1.202 acc:53.30 | val loss:1.311 acc:48.83
