

TE

full-supervised.py --data citeseer --layer 10 --weight_decay 1e-7 --model GGCN --hidden 80 --decay_rate 0.02
Epoch:0001 train loss:1.804 acc:20.49 | val loss:1.772 acc:21.02
Epoch:0002 train loss:1.767 acc:20.74 | val loss:1.736 acc:21.02
Epoch:0003 train loss:1.730 acc:20.87 | val loss:1.697 acc:23.19
Epoch:0004 train loss:1.688 acc:27.18 | val loss:1.658 acc:38.27
Epoch:0005 train loss:1.647 acc:41.61 | val loss:1.620 acc:47.88
Epoch:0006 train loss:1.601 acc:51.07 | val loss:1.581 acc:49.86
Epoch:0007 train loss:1.556 acc:53.15 | val loss:1.540 acc:52.21
Epoch:0008 train loss:1.507 acc:56.87 | val loss:1.492 acc:61.45
Epoch:0009 train loss:1.447 acc:67.34 | val loss:1.439 acc:71.25
Epoch:0010 train loss:1.383 acc:73.71 | val loss:1.383 acc:75.21
Epoch:0011 train loss:1.312 acc:78.81 | val loss:1.322 acc:76.34
Epoch:0012 train loss:1.234 acc:79.89 | val loss:1.258 acc:75.97
Epoch:0013 train loss:1.156 acc:80.90 | val loss:1.191 acc:75.87
Epoch:0014 train loss:1.078 acc:81.15 | val loss:1.124 acc:76.06
Epoch:0015 train loss:0.987 acc:81.27 | val loss:1.059 acc:75.78
Epoch:0016 train loss:0.918 acc:80.39 | val loss:0.998 acc:76.06
Epoch:0017 train loss:0.842 acc:81.40 | val loss:0.943 acc:76.15
Epoch:0018 train loss:0.780 acc:81.46 | val loss:0.895 acc:76.15
Epoch:0019 train loss:0.715 acc:81.84 | val loss:0.853 acc:75.78
Epoch:0020 train loss:0.662 acc:81.46 | val loss:0.819 acc:76.72
Epoch:0021 train loss:0.622 acc:81.59 | val loss:0.793 acc:77.00
Epoch:0022 train loss:0.563 acc:83.80 | val loss:0.773 acc:77.00
Epoch:0023 train loss:0.527 acc:84.93 | val loss:0.756 acc:76.81
Epoch:0024 train loss:0.490 acc:85.18 | val loss:0.744 acc:77.38
Epoch:0025 train loss:0.464 acc:86.32 | val loss:0.738 acc:77.66
Epoch:0026 train loss:0.426 acc:87.45 | val loss:0.735 acc:77.10
Epoch:0027 train loss:0.403 acc:87.70 | val loss:0.737 acc:77.38
Epoch:0028 train loss:0.391 acc:88.27 | val loss:0.741 acc:77.47
Epoch:0029 train loss:0.359 acc:89.60 | val loss:0.745 acc:77.29
Epoch:0030 train loss:0.355 acc:88.84 | val loss:0.750 acc:77.29
Epoch:0031 train loss:0.328 acc:89.41 | val loss:0.755 acc:77.57
Epoch:0032 train loss:0.314 acc:89.79 | val loss:0.760 acc:77.66
Epoch:0033 train loss:0.290 acc:90.92 | val loss:0.770 acc:77.19
Epoch:0034 train loss:0.291 acc:90.29 | val loss:0.781 acc:76.91
Epoch:0035 train loss:0.268 acc:91.05 | val loss:0.790 acc:77.00
Epoch:0036 train loss:0.265 acc:91.24 | val loss:0.799 acc:76.81
Epoch:0037 train loss:0.239 acc:92.18 | val loss:0.809 acc:76.81
Epoch:0038 train loss:0.219 acc:92.69 | val loss:0.821 acc:77.19
Epoch:0039 train loss:0.202 acc:93.38 | val loss:0.833 acc:77.19
Epoch:0040 train loss:0.192 acc:93.32 | val loss:0.846 acc:76.34
Epoch:0041 train loss:0.197 acc:93.51 | val loss:0.860 acc:76.34
Epoch:0042 train loss:0.174 acc:94.70 | val loss:0.870 acc:75.59
Epoch:0043 train loss:0.168 acc:95.02 | val loss:0.874 acc:76.15
Epoch:0044 train loss:0.182 acc:94.20 | val loss:0.878 acc:76.34
Epoch:0045 train loss:0.166 acc:94.33 | val loss:0.885 acc:76.81
Epoch:0046 train loss:0.128 acc:96.22 | val loss:0.896 acc:76.44
Epoch:0047 train loss:0.150 acc:95.08 | val loss:0.909 acc:76.81
Epoch:0048 train loss:0.132 acc:96.09 | val loss:0.927 acc:76.15
Epoch:0049 train loss:0.147 acc:95.08 | val loss:0.946 acc:75.78
Epoch:0050 train loss:0.125 acc:96.22 | val loss:0.959 acc:75.78
Epoch:0051 train loss:0.134 acc:95.46 | val loss:0.968 acc:75.12
Epoch:0052 train loss:0.131 acc:95.52 | val loss:0.970 acc:75.02
Epoch:0053 train loss:0.119 acc:95.90 | val loss:0.972 acc:75.40
Epoch:0054 train loss:0.126 acc:96.09 | val loss:0.971 acc:75.12
Epoch:0055 train loss:0.107 acc:96.09 | val loss:0.975 acc:76.15
Epoch:0056 train loss:0.115 acc:96.15 | val loss:0.983 acc:76.15
Epoch:0057 train loss:0.113 acc:96.47 | val loss:0.994 acc:76.06
Epoch:0058 train loss:0.091 acc:97.35 | val loss:1.007 acc:75.21
Epoch:0059 train loss:0.084 acc:97.67 | val loss:1.022 acc:75.02
Epoch:0060 train loss:0.086 acc:97.04 | val loss:1.037 acc:75.12
Epoch:0061 train loss:0.084 acc:97.41 | val loss:1.047 acc:75.21
Epoch:0062 train loss:0.081 acc:97.67 | val loss:1.052 acc:75.31
Epoch:0063 train loss:0.078 acc:97.79 | val loss:1.052 acc:75.40
Epoch:0064 train loss:0.084 acc:97.48 | val loss:1.052 acc:75.21
Epoch:0065 train loss:0.078 acc:97.67 | val loss:1.053 acc:75.12
Epoch:0066 train loss:0.080 acc:97.29 | val loss:1.058 acc:75.31
Epoch:0067 train loss:0.066 acc:98.05 | val loss:1.066 acc:75.40
Epoch:0068 train loss:0.076 acc:97.35 | val loss:1.076 acc:75.59
Epoch:0069 train loss:0.072 acc:97.86 | val loss:1.090 acc:75.31
Epoch:0070 train loss:0.079 acc:97.48 | val loss:1.105 acc:75.40
Epoch:0071 train loss:0.065 acc:97.92 | val loss:1.123 acc:75.12
Epoch:0072 train loss:0.069 acc:97.73 | val loss:1.139 acc:75.12
Epoch:0073 train loss:0.081 acc:97.35 | val loss:1.146 acc:74.93
Epoch:0074 train loss:0.075 acc:97.73 | val loss:1.142 acc:74.93
Epoch:0075 train loss:0.075 acc:97.29 | val loss:1.138 acc:74.93
Epoch:0076 train loss:0.065 acc:98.05 | val loss:1.137 acc:75.49
Epoch:0077 train loss:0.059 acc:97.92 | val loss:1.137 acc:75.49
Epoch:0078 train loss:0.078 acc:97.10 | val loss:1.137 acc:75.68
Epoch:0079 train loss:0.057 acc:98.11 | val loss:1.142 acc:75.68
Epoch:0080 train loss:0.060 acc:98.30 | val loss:1.151 acc:75.40
Epoch:0081 train loss:0.062 acc:98.05 | val loss:1.163 acc:75.49
Epoch:0082 train loss:0.068 acc:97.73 | val loss:1.175 acc:75.31
Epoch:0083 train loss:0.061 acc:97.92 | val loss:1.186 acc:75.02
Epoch:0084 train loss:0.056 acc:98.49 | val loss:1.193 acc:75.21
Epoch:0085 train loss:0.050 acc:98.30 | val loss:1.196 acc:75.02
Epoch:0086 train loss:0.058 acc:98.30 | val loss:1.199 acc:75.02
Epoch:0087 train loss:0.056 acc:98.23 | val loss:1.201 acc:75.12
