

TE

full-supervised.py --data cora --layer 32 --weight_decay 1e-3 --model GGCN --hidden 16 --decay_rate 0.9
Epoch:0001 train loss:1.918 acc:29.36 | val loss:1.898 acc:29.90
Epoch:0002 train loss:1.899 acc:29.36 | val loss:1.881 acc:29.90
Epoch:0003 train loss:1.881 acc:29.36 | val loss:1.863 acc:29.90
Epoch:0004 train loss:1.860 acc:29.36 | val loss:1.844 acc:29.90
Epoch:0005 train loss:1.842 acc:29.36 | val loss:1.824 acc:29.90
Epoch:0006 train loss:1.820 acc:29.36 | val loss:1.804 acc:29.90
Epoch:0007 train loss:1.800 acc:29.45 | val loss:1.785 acc:29.90
Epoch:0008 train loss:1.779 acc:29.36 | val loss:1.767 acc:29.90
Epoch:0009 train loss:1.764 acc:29.36 | val loss:1.750 acc:29.90
Epoch:0010 train loss:1.743 acc:29.53 | val loss:1.734 acc:29.90
Epoch:0011 train loss:1.727 acc:29.61 | val loss:1.718 acc:29.90
Epoch:0012 train loss:1.716 acc:29.87 | val loss:1.701 acc:29.90
Epoch:0013 train loss:1.687 acc:30.37 | val loss:1.681 acc:30.90
Epoch:0014 train loss:1.671 acc:31.12 | val loss:1.660 acc:31.41
Epoch:0015 train loss:1.655 acc:33.31 | val loss:1.638 acc:33.79
Epoch:0016 train loss:1.623 acc:35.91 | val loss:1.614 acc:37.69
Epoch:0017 train loss:1.597 acc:40.02 | val loss:1.588 acc:40.20
Epoch:0018 train loss:1.573 acc:43.71 | val loss:1.561 acc:43.84
Epoch:0019 train loss:1.540 acc:45.81 | val loss:1.533 acc:45.85
Epoch:0020 train loss:1.512 acc:47.90 | val loss:1.504 acc:46.73
Epoch:0021 train loss:1.490 acc:50.67 | val loss:1.474 acc:48.24
Epoch:0022 train loss:1.447 acc:50.59 | val loss:1.444 acc:50.13
Epoch:0023 train loss:1.406 acc:54.03 | val loss:1.412 acc:52.51
Epoch:0024 train loss:1.390 acc:51.26 | val loss:1.379 acc:54.15
Epoch:0025 train loss:1.341 acc:55.54 | val loss:1.343 acc:56.16
Epoch:0026 train loss:1.300 acc:58.22 | val loss:1.305 acc:58.92
Epoch:0027 train loss:1.267 acc:61.07 | val loss:1.267 acc:60.80
Epoch:0028 train loss:1.255 acc:60.07 | val loss:1.229 acc:63.69
Epoch:0029 train loss:1.202 acc:63.42 | val loss:1.192 acc:66.21
Epoch:0030 train loss:1.161 acc:64.77 | val loss:1.155 acc:67.46
Epoch:0031 train loss:1.136 acc:65.60 | val loss:1.119 acc:68.34
Epoch:0032 train loss:1.091 acc:66.69 | val loss:1.085 acc:69.22
Epoch:0033 train loss:1.071 acc:67.53 | val loss:1.051 acc:71.11
Epoch:0034 train loss:1.024 acc:69.21 | val loss:1.019 acc:71.48
Epoch:0035 train loss:0.993 acc:70.97 | val loss:0.988 acc:71.98
Epoch:0036 train loss:0.967 acc:70.64 | val loss:0.959 acc:72.61
Epoch:0037 train loss:0.970 acc:70.39 | val loss:0.932 acc:73.49
Epoch:0038 train loss:0.923 acc:73.07 | val loss:0.906 acc:74.50
Epoch:0039 train loss:0.893 acc:72.99 | val loss:0.882 acc:75.25
Epoch:0040 train loss:0.853 acc:74.08 | val loss:0.859 acc:76.76
Epoch:0041 train loss:0.870 acc:74.92 | val loss:0.842 acc:76.63
Epoch:0042 train loss:0.806 acc:76.09 | val loss:0.826 acc:77.14
Epoch:0043 train loss:0.818 acc:75.34 | val loss:0.806 acc:77.26
Epoch:0044 train loss:0.747 acc:78.86 | val loss:0.784 acc:78.64
Epoch:0045 train loss:0.745 acc:78.94 | val loss:0.763 acc:79.90
Epoch:0046 train loss:0.736 acc:78.86 | val loss:0.743 acc:79.40
Epoch:0047 train loss:0.683 acc:80.96 | val loss:0.727 acc:79.90
Epoch:0048 train loss:0.674 acc:81.63 | val loss:0.713 acc:79.27
Epoch:0049 train loss:0.670 acc:81.12 | val loss:0.700 acc:79.77
Epoch:0050 train loss:0.657 acc:81.46 | val loss:0.686 acc:80.15
Epoch:0051 train loss:0.654 acc:80.12 | val loss:0.674 acc:80.53
Epoch:0052 train loss:0.644 acc:81.29 | val loss:0.663 acc:80.78
Epoch:0053 train loss:0.609 acc:81.88 | val loss:0.654 acc:81.41
Epoch:0054 train loss:0.608 acc:84.06 | val loss:0.647 acc:81.28
Epoch:0055 train loss:0.607 acc:82.97 | val loss:0.640 acc:81.41
Epoch:0056 train loss:0.585 acc:83.72 | val loss:0.627 acc:81.66
Epoch:0057 train loss:0.550 acc:85.32 | val loss:0.614 acc:81.91
Epoch:0058 train loss:0.562 acc:84.65 | val loss:0.605 acc:81.91
Epoch:0059 train loss:0.522 acc:84.82 | val loss:0.598 acc:81.78
Epoch:0060 train loss:0.532 acc:85.15 | val loss:0.594 acc:82.04
Epoch:0061 train loss:0.735 acc:76.93 | val loss:0.589 acc:82.16
Epoch:0062 train loss:0.525 acc:84.90 | val loss:0.587 acc:82.04
Epoch:0063 train loss:0.505 acc:84.31 | val loss:0.579 acc:82.66
Epoch:0064 train loss:0.494 acc:85.57 | val loss:0.567 acc:82.41
Epoch:0065 train loss:0.480 acc:87.42 | val loss:0.557 acc:82.91
Epoch:0066 train loss:0.487 acc:87.00 | val loss:0.553 acc:83.67
Epoch:0067 train loss:0.469 acc:87.92 | val loss:0.554 acc:84.17
Epoch:0068 train loss:0.494 acc:84.82 | val loss:0.556 acc:83.67
Epoch:0069 train loss:0.455 acc:87.58 | val loss:0.549 acc:83.79
Epoch:0070 train loss:0.472 acc:86.16 | val loss:0.536 acc:84.42
Epoch:0071 train loss:0.437 acc:87.75 | val loss:0.524 acc:83.79
Epoch:0072 train loss:0.404 acc:90.02 | val loss:0.518 acc:84.42
Epoch:0073 train loss:0.412 acc:89.43 | val loss:0.512 acc:83.92
Epoch:0074 train loss:0.440 acc:88.51 | val loss:0.506 acc:83.92
Epoch:0075 train loss:0.393 acc:90.18 | val loss:0.506 acc:84.30
Epoch:0076 train loss:0.430 acc:87.25 | val loss:0.504 acc:84.42
Epoch:0077 train loss:0.391 acc:90.18 | val loss:0.502 acc:84.42
Epoch:0078 train loss:0.424 acc:88.42 | val loss:0.503 acc:84.55
Epoch:0079 train loss:0.381 acc:89.09 | val loss:0.502 acc:84.42
Epoch:0080 train loss:0.392 acc:89.60 | val loss:0.496 acc:84.42
Epoch:0081 train loss:0.842 acc:73.91 | val loss:0.492 acc:84.80
Epoch:0082 train loss:0.348 acc:90.10 | val loss:0.498 acc:84.80
Epoch:0083 train loss:0.391 acc:89.18 | val loss:0.492 acc:84.67
Epoch:0084 train loss:0.389 acc:87.33 | val loss:0.476 acc:84.67
Epoch:0085 train loss:0.372 acc:89.60 | val loss:0.470 acc:85.05
Epoch:0086 train loss:0.367 acc:91.19 | val loss:0.482 acc:85.18
Epoch:0087 train loss:0.345 acc:90.77 | val loss:0.498 acc:84.92
Epoch:0088 train loss:0.348 acc:90.27 | val loss:0.504 acc:84.80
Epoch:0089 train loss:0.336 acc:91.53 | val loss:0.498 acc:84.55
Epoch:0090 train loss:0.326 acc:90.52 | val loss:0.481 acc:85.05
Epoch:0091 train loss:0.303 acc:92.28 | val loss:0.464 acc:85.05
Epoch:0092 train loss:0.326 acc:91.19 | val loss:0.454 acc:85.80
Epoch:0093 train loss:0.323 acc:91.69 | val loss:0.450 acc:85.30
Epoch:0094 train loss:0.315 acc:91.11 | val loss:0.448 acc:85.43
Epoch:0095 train loss:0.338 acc:89.93 | val loss:0.448 acc:85.43
Epoch:0096 train loss:0.277 acc:92.45 | val loss:0.450 acc:85.80
Epoch:0097 train loss:0.313 acc:91.11 | val loss:0.453 acc:86.31
Epoch:0098 train loss:0.293 acc:93.29 | val loss:0.460 acc:86.18
Epoch:0099 train loss:0.263 acc:93.04 | val loss:0.460 acc:85.80
Epoch:0100 train loss:0.285 acc:92.95 | val loss:0.456 acc:85.93
Epoch:0101 train loss:0.579 acc:79.78 | val loss:0.443 acc:86.18
