TE

full-supervised.py --data cornell --layer 6 --weight_decay 1e-3 --model GGCN --hidden 16 --decay_rate 0.7
Epoch:0001 train loss:1.546 acc:17.24 | val loss:1.550 acc:54.24
Epoch:0002 train loss:1.512 acc:56.32 | val loss:1.519 acc:54.24
Epoch:0003 train loss:1.477 acc:56.32 | val loss:1.487 acc:54.24
Epoch:0004 train loss:1.444 acc:56.32 | val loss:1.454 acc:54.24
Epoch:0005 train loss:1.401 acc:56.32 | val loss:1.420 acc:54.24
Epoch:0006 train loss:1.362 acc:56.32 | val loss:1.388 acc:54.24
Epoch:0007 train loss:1.316 acc:56.32 | val loss:1.359 acc:54.24
Epoch:0008 train loss:1.283 acc:56.32 | val loss:1.335 acc:54.24
Epoch:0009 train loss:1.242 acc:56.32 | val loss:1.319 acc:54.24
Epoch:0010 train loss:1.209 acc:56.32 | val loss:1.312 acc:54.24
Epoch:0011 train loss:1.189 acc:56.32 | val loss:1.313 acc:54.24
Epoch:0012 train loss:1.169 acc:56.32 | val loss:1.317 acc:54.24
Epoch:0013 train loss:1.174 acc:56.32 | val loss:1.322 acc:54.24
Epoch:0014 train loss:1.180 acc:56.32 | val loss:1.320 acc:54.24
Epoch:0015 train loss:1.170 acc:56.32 | val loss:1.313 acc:54.24
Epoch:0016 train loss:1.173 acc:56.32 | val loss:1.300 acc:54.24
Epoch:0017 train loss:1.143 acc:56.32 | val loss:1.284 acc:54.24
Epoch:0018 train loss:1.131 acc:56.32 | val loss:1.270 acc:54.24
Epoch:0019 train loss:1.118 acc:56.32 | val loss:1.257 acc:54.24
Epoch:0020 train loss:1.096 acc:56.32 | val loss:1.247 acc:54.24
Epoch:0021 train loss:1.106 acc:56.32 | val loss:1.240 acc:54.24
Epoch:0022 train loss:1.100 acc:56.32 | val loss:1.235 acc:54.24
Epoch:0023 train loss:1.079 acc:56.32 | val loss:1.231 acc:54.24
Epoch:0024 train loss:1.091 acc:56.32 | val loss:1.228 acc:54.24
Epoch:0025 train loss:1.066 acc:56.32 | val loss:1.224 acc:54.24
Epoch:0026 train loss:1.066 acc:56.32 | val loss:1.220 acc:54.24
Epoch:0027 train loss:1.066 acc:56.32 | val loss:1.214 acc:54.24
Epoch:0028 train loss:1.040 acc:56.32 | val loss:1.208 acc:54.24
Epoch:0029 train loss:1.061 acc:56.32 | val loss:1.200 acc:54.24
Epoch:0030 train loss:1.031 acc:57.47 | val loss:1.191 acc:54.24
Epoch:0031 train loss:1.022 acc:57.47 | val loss:1.180 acc:54.24
Epoch:0032 train loss:1.019 acc:56.32 | val loss:1.167 acc:54.24
Epoch:0033 train loss:0.989 acc:57.47 | val loss:1.154 acc:54.24
Epoch:0034 train loss:0.984 acc:57.47 | val loss:1.139 acc:54.24
Epoch:0035 train loss:0.963 acc:58.62 | val loss:1.124 acc:54.24
Epoch:0036 train loss:0.959 acc:57.47 | val loss:1.108 acc:54.24
Epoch:0037 train loss:0.950 acc:58.62 | val loss:1.092 acc:54.24
Epoch:0038 train loss:0.919 acc:59.77 | val loss:1.076 acc:55.93
Epoch:0039 train loss:0.919 acc:62.07 | val loss:1.062 acc:55.93
Epoch:0040 train loss:0.919 acc:60.92 | val loss:1.050 acc:59.32
Epoch:0041 train loss:0.884 acc:63.22 | val loss:1.039 acc:61.02
Epoch:0042 train loss:0.865 acc:66.67 | val loss:1.029 acc:61.02
Epoch:0043 train loss:0.831 acc:70.11 | val loss:1.021 acc:62.71
Epoch:0044 train loss:0.822 acc:70.11 | val loss:1.012 acc:62.71
Epoch:0045 train loss:0.812 acc:70.11 | val loss:1.004 acc:64.41
