

TE

full-supervised.py --data squirrel --layer 2 --weight_decay 4e-3 --model GGCN --hidden 32 --dropout 0.5
Epoch:0001 train loss:1.614 acc:20.07 | val loss:1.612 acc:19.41
Epoch:0002 train loss:1.608 acc:20.07 | val loss:1.609 acc:21.33
Epoch:0003 train loss:1.604 acc:25.76 | val loss:1.607 acc:20.07
Epoch:0004 train loss:1.603 acc:20.39 | val loss:1.607 acc:20.07
Epoch:0005 train loss:1.602 acc:20.15 | val loss:1.607 acc:20.07
Epoch:0006 train loss:1.602 acc:20.15 | val loss:1.607 acc:20.07
Epoch:0007 train loss:1.602 acc:20.11 | val loss:1.606 acc:20.07
Epoch:0008 train loss:1.601 acc:20.15 | val loss:1.606 acc:20.07
Epoch:0009 train loss:1.601 acc:20.35 | val loss:1.605 acc:20.07
Epoch:0010 train loss:1.600 acc:20.43 | val loss:1.605 acc:20.07
Epoch:0011 train loss:1.601 acc:20.75 | val loss:1.605 acc:20.07
Epoch:0012 train loss:1.598 acc:21.19 | val loss:1.604 acc:20.07
Epoch:0013 train loss:1.599 acc:22.00 | val loss:1.603 acc:20.13
Epoch:0014 train loss:1.599 acc:21.51 | val loss:1.602 acc:20.25
Epoch:0015 train loss:1.597 acc:21.63 | val loss:1.601 acc:20.25
Epoch:0016 train loss:1.595 acc:21.43 | val loss:1.600 acc:20.25
Epoch:0017 train loss:1.594 acc:22.16 | val loss:1.599 acc:20.25
Epoch:0018 train loss:1.593 acc:22.88 | val loss:1.597 acc:20.73
Epoch:0019 train loss:1.590 acc:23.88 | val loss:1.595 acc:21.45
Epoch:0020 train loss:1.588 acc:24.60 | val loss:1.593 acc:22.18
Epoch:0021 train loss:1.585 acc:25.32 | val loss:1.590 acc:23.74
Epoch:0022 train loss:1.583 acc:26.24 | val loss:1.587 acc:24.28
Epoch:0023 train loss:1.580 acc:25.56 | val loss:1.583 acc:25.60
Epoch:0024 train loss:1.575 acc:26.16 | val loss:1.579 acc:26.98
Epoch:0025 train loss:1.573 acc:27.16 | val loss:1.575 acc:28.79
Epoch:0026 train loss:1.570 acc:28.41 | val loss:1.571 acc:29.09
Epoch:0027 train loss:1.567 acc:27.80 | val loss:1.567 acc:29.51
Epoch:0028 train loss:1.562 acc:27.56 | val loss:1.562 acc:30.59
Epoch:0029 train loss:1.558 acc:28.25 | val loss:1.556 acc:30.83
Epoch:0030 train loss:1.550 acc:29.29 | val loss:1.551 acc:31.97
Epoch:0031 train loss:1.552 acc:28.53 | val loss:1.546 acc:31.67
Epoch:0032 train loss:1.546 acc:29.85 | val loss:1.541 acc:31.91
Epoch:0033 train loss:1.541 acc:30.29 | val loss:1.536 acc:31.85
Epoch:0034 train loss:1.533 acc:30.41 | val loss:1.532 acc:32.03
Epoch:0035 train loss:1.525 acc:30.33 | val loss:1.528 acc:32.27
Epoch:0036 train loss:1.530 acc:30.69 | val loss:1.523 acc:32.39
Epoch:0037 train loss:1.524 acc:30.61 | val loss:1.519 acc:32.15
Epoch:0038 train loss:1.520 acc:30.33 | val loss:1.517 acc:33.35
Epoch:0039 train loss:1.517 acc:31.77 | val loss:1.514 acc:33.23
Epoch:0040 train loss:1.516 acc:31.61 | val loss:1.511 acc:32.21
Epoch:0041 train loss:1.517 acc:31.33 | val loss:1.510 acc:32.87
Epoch:0042 train loss:1.507 acc:32.41 | val loss:1.510 acc:33.29
Epoch:0043 train loss:1.510 acc:32.53 | val loss:1.510 acc:33.65
Epoch:0044 train loss:1.502 acc:31.81 | val loss:1.507 acc:33.29
Epoch:0045 train loss:1.498 acc:32.49 | val loss:1.506 acc:33.53
Epoch:0046 train loss:1.503 acc:31.33 | val loss:1.507 acc:33.35
Epoch:0047 train loss:1.501 acc:33.41 | val loss:1.508 acc:33.83
Epoch:0048 train loss:1.498 acc:33.49 | val loss:1.507 acc:33.47
Epoch:0049 train loss:1.490 acc:33.81 | val loss:1.504 acc:33.89
Epoch:0050 train loss:1.500 acc:31.89 | val loss:1.503 acc:33.41
Epoch:0051 train loss:1.497 acc:33.17 | val loss:1.503 acc:33.05
Epoch:0052 train loss:1.491 acc:32.65 | val loss:1.504 acc:33.29
Epoch:0053 train loss:1.495 acc:32.73 | val loss:1.504 acc:33.11
Epoch:0054 train loss:1.502 acc:32.81 | val loss:1.503 acc:33.41
Epoch:0055 train loss:1.498 acc:33.13 | val loss:1.502 acc:33.29
Epoch:0056 train loss:1.490 acc:34.66 | val loss:1.503 acc:33.47
Epoch:0057 train loss:1.492 acc:33.69 | val loss:1.504 acc:34.01
Epoch:0058 train loss:1.493 acc:33.97 | val loss:1.504 acc:33.53
Epoch:0059 train loss:1.501 acc:32.37 | val loss:1.503 acc:33.71
Epoch:0060 train loss:1.495 acc:32.77 | val loss:1.502 acc:33.05
Epoch:0061 train loss:1.498 acc:33.49 | val loss:1.502 acc:32.93
Epoch:0062 train loss:1.493 acc:34.70 | val loss:1.502 acc:32.93
Epoch:0063 train loss:1.497 acc:32.65 | val loss:1.504 acc:33.05
Epoch:0064 train loss:1.490 acc:33.69 | val loss:1.504 acc:33.17
Epoch:0065 train loss:1.487 acc:33.73 | val loss:1.502 acc:32.87
Epoch:0066 train loss:1.487 acc:33.89 | val loss:1.501 acc:32.21
Epoch:0067 train loss:1.490 acc:33.13 | val loss:1.500 acc:31.79
Epoch:0068 train loss:1.484 acc:33.25 | val loss:1.501 acc:32.45
Epoch:0069 train loss:1.480 acc:33.97 | val loss:1.502 acc:33.95
Epoch:0070 train loss:1.486 acc:32.97 | val loss:1.501 acc:33.11
Epoch:0071 train loss:1.489 acc:34.33 | val loss:1.500 acc:32.99
Epoch:0072 train loss:1.486 acc:33.77 | val loss:1.499 acc:32.87
Epoch:0073 train loss:1.480 acc:34.33 | val loss:1.499 acc:33.05
Epoch:0074 train loss:1.482 acc:33.77 | val loss:1.498 acc:33.11
Epoch:0075 train loss:1.478 acc:33.73 | val loss:1.497 acc:33.35
Epoch:0076 train loss:1.480 acc:33.57 | val loss:1.497 acc:33.23
Epoch:0077 train loss:1.473 acc:35.62 | val loss:1.496 acc:33.23
Epoch:0078 train loss:1.480 acc:34.54 | val loss:1.495 acc:33.05
Epoch:0079 train loss:1.478 acc:34.94 | val loss:1.495 acc:33.05
Epoch:0080 train loss:1.471 acc:35.06 | val loss:1.495 acc:33.47
Epoch:0081 train loss:1.482 acc:34.01 | val loss:1.495 acc:33.77
Epoch:0082 train loss:1.481 acc:34.01 | val loss:1.495 acc:33.95
Epoch:0083 train loss:1.478 acc:34.78 | val loss:1.494 acc:34.13
Epoch:0084 train loss:1.480 acc:34.17 | val loss:1.493 acc:34.25
Epoch:0085 train loss:1.471 acc:34.46 | val loss:1.493 acc:34.19
Epoch:0086 train loss:1.473 acc:34.62 | val loss:1.492 acc:34.07
Epoch:0087 train loss:1.472 acc:34.01 | val loss:1.492 acc:34.01
Epoch:0088 train loss:1.471 acc:34.94 | val loss:1.493 acc:33.89
Epoch:0089 train loss:1.471 acc:34.94 | val loss:1.492 acc:34.01
Epoch:0090 train loss:1.466 acc:34.70 | val loss:1.491 acc:34.62
Epoch:0091 train loss:1.466 acc:35.38 | val loss:1.491 acc:34.62
Epoch:0092 train loss:1.465 acc:35.66 | val loss:1.491 acc:34.80
