full-supervised.py --data texas --layer 2 --weight_decay 1e-3 --model GGCN --hidden 16 --dropout 0.4
Epoch:0001 train loss:1.572 acc:22.99 | val loss:1.611 acc:8.47
Epoch:0002 train loss:1.534 acc:22.99 | val loss:1.590 acc:8.47
Epoch:0003 train loss:1.499 acc:22.99 | val loss:1.569 acc:10.17
Epoch:0004 train loss:1.462 acc:33.33 | val loss:1.548 acc:40.68
Epoch:0005 train loss:1.424 acc:54.02 | val loss:1.528 acc:52.54
Epoch:0006 train loss:1.395 acc:52.87 | val loss:1.509 acc:52.54
Epoch:0007 train loss:1.359 acc:52.87 | val loss:1.493 acc:52.54
Epoch:0008 train loss:1.322 acc:52.87 | val loss:1.480 acc:52.54
Epoch:0009 train loss:1.307 acc:52.87 | val loss:1.472 acc:52.54
Epoch:0010 train loss:1.282 acc:52.87 | val loss:1.467 acc:52.54
Epoch:0011 train loss:1.272 acc:52.87 | val loss:1.464 acc:52.54
Epoch:0012 train loss:1.258 acc:52.87 | val loss:1.461 acc:52.54
Epoch:0013 train loss:1.240 acc:52.87 | val loss:1.455 acc:52.54
Epoch:0014 train loss:1.231 acc:52.87 | val loss:1.448 acc:52.54
Epoch:0015 train loss:1.214 acc:52.87 | val loss:1.440 acc:52.54
Epoch:0016 train loss:1.199 acc:52.87 | val loss:1.429 acc:52.54
Epoch:0017 train loss:1.176 acc:52.87 | val loss:1.418 acc:52.54
Epoch:0018 train loss:1.163 acc:52.87 | val loss:1.406 acc:52.54
Epoch:0019 train loss:1.150 acc:54.02 | val loss:1.390 acc:52.54
Epoch:0020 train loss:1.141 acc:52.87 | val loss:1.374 acc:52.54
Epoch:0021 train loss:1.121 acc:56.32 | val loss:1.357 acc:52.54
Epoch:0022 train loss:1.094 acc:55.17 | val loss:1.339 acc:52.54
Epoch:0023 train loss:1.105 acc:55.17 | val loss:1.322 acc:52.54
Epoch:0024 train loss:1.072 acc:57.47 | val loss:1.307 acc:52.54
Epoch:0025 train loss:1.057 acc:56.32 | val loss:1.294 acc:52.54
Epoch:0026 train loss:1.023 acc:56.32 | val loss:1.282 acc:52.54
Epoch:0027 train loss:1.022 acc:56.32 | val loss:1.274 acc:52.54
Epoch:0028 train loss:1.015 acc:58.62 | val loss:1.266 acc:52.54
Epoch:0029 train loss:0.964 acc:57.47 | val loss:1.260 acc:52.54
Epoch:0030 train loss:0.978 acc:58.62 | val loss:1.254 acc:52.54
Epoch:0031 train loss:0.952 acc:59.77 | val loss:1.251 acc:52.54
Epoch:0032 train loss:0.925 acc:64.37 | val loss:1.246 acc:52.54
Epoch:0033 train loss:0.915 acc:64.37 | val loss:1.238 acc:52.54
Epoch:0034 train loss:0.891 acc:62.07 | val loss:1.226 acc:52.54
Epoch:0035 train loss:0.859 acc:72.41 | val loss:1.211 acc:52.54
Epoch:0036 train loss:0.862 acc:71.26 | val loss:1.194 acc:52.54
Epoch:0037 train loss:0.813 acc:75.86 | val loss:1.176 acc:52.54
Epoch:0038 train loss:0.781 acc:78.16 | val loss:1.155 acc:52.54
Epoch:0039 train loss:0.802 acc:74.71 | val loss:1.132 acc:54.24
Epoch:0040 train loss:0.742 acc:77.01 | val loss:1.110 acc:57.63
Epoch:0041 train loss:0.685 acc:80.46 | val loss:1.089 acc:61.02
Epoch:0042 train loss:0.639 acc:85.06 | val loss:1.070 acc:66.10
Epoch:0043 train loss:0.636 acc:83.91 | val loss:1.053 acc:66.10
Epoch:0044 train loss:0.576 acc:86.21 | val loss:1.037 acc:67.80
Epoch:0045 train loss:0.600 acc:87.36 | val loss:1.020 acc:67.80
Epoch:0046 train loss:0.515 acc:90.80 | val loss:1.001 acc:67.80
Epoch:0047 train loss:0.491 acc:90.80 | val loss:0.981 acc:72.88
Epoch:0048 train loss:0.472 acc:90.80 | val loss:0.960 acc:74.58
Epoch:0049 train loss:0.473 acc:87.36 | val loss:0.943 acc:72.88
Epoch:0050 train loss:0.457 acc:91.95 | val loss:0.928 acc:72.88
Epoch:0051 train loss:0.402 acc:91.95 | val loss:0.913 acc:76.27
Epoch:0052 train loss:0.364 acc:91.95 | val loss:0.896 acc:76.27
Epoch:0053 train loss:0.399 acc:90.80 | val loss:0.881 acc:77.97
Epoch:0054 train loss:0.317 acc:95.40 | val loss:0.865 acc:76.27
Epoch:0055 train loss:0.329 acc:93.10 | val loss:0.855 acc:74.58
Epoch:0056 train loss:0.307 acc:94.25 | val loss:0.830 acc:76.27
Epoch:0057 train loss:0.279 acc:96.55 | val loss:0.811 acc:77.97
Epoch:0058 train loss:0.286 acc:95.40 | val loss:0.802 acc:77.97
Epoch:0059 train loss:0.250 acc:94.25 | val loss:0.800 acc:77.97
Epoch:0060 train loss:0.229 acc:97.70 | val loss:0.802 acc:76.27
Epoch:0061 train loss:0.201 acc:97.70 | val loss:0.804 acc:76.27
Epoch:0062 train loss:0.214 acc:97.70 | val loss:0.805 acc:76.27
Epoch:0063 train loss:0.207 acc:96.55 | val loss:0.802 acc:76.27
Epoch:0064 train loss:0.195 acc:95.40 | val loss:0.795 acc:76.27
Epoch:0065 train loss:0.170 acc:98.85 | val loss:0.791 acc:76.27
Epoch:0066 train loss:0.160 acc:98.85 | val loss:0.788 acc:76.27
Epoch:0067 train loss:0.137 acc:100.00 | val loss:0.785 acc:76.27
Epoch:0068 train loss:0.143 acc:100.00 | val loss:0.775 acc:76.27
Epoch:0069 train loss:0.156 acc:98.85 | val loss:0.765 acc:77.97
Epoch:0070 train loss:0.144 acc:96.55 | val loss:0.764 acc:77.97
Epoch:0071 train loss:0.120 acc:98.85 | val loss:0.768 acc:76.27
Epoch:0072 train loss:0.144 acc:98.85 | val loss:0.775 acc:77.97
Epoch:0073 train loss:0.120 acc:98.85 | val loss:0.781 acc:76.27
Epoch:0074 train loss:0.112 acc:100.00 | val loss:0.795 acc:76.27
Epoch:0075 train loss:0.114 acc:100.00 | val loss:0.812 acc:74.58
Epoch:0076 train loss:0.107 acc:100.00 | val loss:0.805 acc:76.27
Epoch:0077 train loss:0.128 acc:100.00 | val loss:0.789 acc:76.27
Epoch:0078 train loss:0.131 acc:98.85 | val loss:0.771 acc:77.97
