BASELINE
full-supervised.py --data texas --layer 32 --lamda 1.5 --weight_decay 1e-4 --model GCNII --variant
Epoch:0001 train loss:1.602 acc:8.05 | val loss:1.577 acc:11.86
Epoch:0002 train loss:1.581 acc:12.64 | val loss:1.562 acc:52.54
Epoch:0003 train loss:1.560 acc:48.28 | val loss:1.543 acc:52.54
Epoch:0004 train loss:1.534 acc:52.87 | val loss:1.520 acc:52.54
Epoch:0005 train loss:1.499 acc:52.87 | val loss:1.495 acc:52.54
Epoch:0006 train loss:1.466 acc:52.87 | val loss:1.467 acc:52.54
Epoch:0007 train loss:1.411 acc:52.87 | val loss:1.440 acc:52.54
Epoch:0008 train loss:1.374 acc:52.87 | val loss:1.416 acc:52.54
Epoch:0009 train loss:1.335 acc:52.87 | val loss:1.398 acc:52.54
Epoch:0010 train loss:1.317 acc:52.87 | val loss:1.391 acc:52.54
Epoch:0011 train loss:1.254 acc:52.87 | val loss:1.398 acc:52.54
Epoch:0012 train loss:1.247 acc:52.87 | val loss:1.414 acc:52.54
Epoch:0013 train loss:1.261 acc:52.87 | val loss:1.429 acc:52.54
Epoch:0014 train loss:1.230 acc:52.87 | val loss:1.436 acc:52.54
Epoch:0015 train loss:1.291 acc:52.87 | val loss:1.428 acc:52.54
Epoch:0016 train loss:1.264 acc:52.87 | val loss:1.412 acc:52.54
Epoch:0017 train loss:1.191 acc:52.87 | val loss:1.393 acc:52.54
Epoch:0018 train loss:1.178 acc:52.87 | val loss:1.376 acc:52.54
Epoch:0019 train loss:1.214 acc:52.87 | val loss:1.361 acc:52.54
Epoch:0020 train loss:1.183 acc:52.87 | val loss:1.348 acc:52.54
Epoch:0021 train loss:1.163 acc:54.02 | val loss:1.336 acc:52.54
Epoch:0022 train loss:1.165 acc:54.02 | val loss:1.325 acc:52.54
Epoch:0023 train loss:1.139 acc:55.17 | val loss:1.314 acc:52.54
Epoch:0024 train loss:1.132 acc:55.17 | val loss:1.302 acc:52.54
Epoch:0025 train loss:1.118 acc:54.02 | val loss:1.291 acc:52.54
Epoch:0026 train loss:1.130 acc:52.87 | val loss:1.279 acc:52.54
Epoch:0027 train loss:1.105 acc:52.87 | val loss:1.270 acc:52.54
Epoch:0028 train loss:1.101 acc:52.87 | val loss:1.262 acc:52.54
Epoch:0029 train loss:1.111 acc:52.87 | val loss:1.256 acc:52.54
