full-supervised.py --data texas --layer 32 --lamda 1.5 --weight_decay 1e-4 --model GCNII
Epoch:0001 train loss:1.609 acc:8.05 | val loss:1.585 acc:10.17
Epoch:0002 train loss:1.583 acc:22.99 | val loss:1.567 acc:52.54
Epoch:0003 train loss:1.556 acc:52.87 | val loss:1.545 acc:52.54
Epoch:0004 train loss:1.528 acc:52.87 | val loss:1.520 acc:52.54
Epoch:0005 train loss:1.490 acc:52.87 | val loss:1.492 acc:52.54
Epoch:0006 train loss:1.438 acc:52.87 | val loss:1.465 acc:52.54
Epoch:0007 train loss:1.393 acc:52.87 | val loss:1.439 acc:52.54
Epoch:0008 train loss:1.341 acc:52.87 | val loss:1.419 acc:52.54
Epoch:0009 train loss:1.311 acc:52.87 | val loss:1.406 acc:52.54
Epoch:0010 train loss:1.286 acc:52.87 | val loss:1.402 acc:52.54
Epoch:0011 train loss:1.244 acc:52.87 | val loss:1.407 acc:52.54
Epoch:0012 train loss:1.236 acc:52.87 | val loss:1.420 acc:52.54
Epoch:0013 train loss:1.238 acc:52.87 | val loss:1.433 acc:52.54
Epoch:0014 train loss:1.258 acc:52.87 | val loss:1.437 acc:52.54
Epoch:0015 train loss:1.270 acc:52.87 | val loss:1.428 acc:52.54
Epoch:0016 train loss:1.233 acc:52.87 | val loss:1.413 acc:52.54
Epoch:0017 train loss:1.198 acc:52.87 | val loss:1.396 acc:52.54
Epoch:0018 train loss:1.163 acc:52.87 | val loss:1.380 acc:52.54
Epoch:0019 train loss:1.216 acc:51.72 | val loss:1.365 acc:52.54
Epoch:0020 train loss:1.166 acc:54.02 | val loss:1.353 acc:52.54
Epoch:0021 train loss:1.152 acc:52.87 | val loss:1.342 acc:52.54
Epoch:0022 train loss:1.180 acc:54.02 | val loss:1.332 acc:52.54
Epoch:0023 train loss:1.143 acc:52.87 | val loss:1.321 acc:52.54
Epoch:0024 train loss:1.154 acc:52.87 | val loss:1.311 acc:52.54
Epoch:0025 train loss:1.133 acc:52.87 | val loss:1.301 acc:52.54
Epoch:0026 train loss:1.122 acc:52.87 | val loss:1.292 acc:52.54
Epoch:0027 train loss:1.119 acc:54.02 | val loss:1.284 acc:52.54
Epoch:0028 train loss:1.125 acc:52.87 | val loss:1.278 acc:52.54
Epoch:0029 train loss:1.112 acc:54.02 | val loss:1.274 acc:52.54
Epoch:0030 train loss:1.085 acc:52.87 | val loss:1.271 acc:52.54
Epoch:0031 train loss:1.061 acc:52.87 | val loss:1.270 acc:52.54
Epoch:0032 train loss:1.106 acc:52.87 | val loss:1.270 acc:52.54
Epoch:0033 train loss:1.041 acc:52.87 | val loss:1.271 acc:52.54
Epoch:0034 train loss:1.013 acc:52.87 | val loss:1.273 acc:52.54
Epoch:0035 train loss:1.042 acc:52.87 | val loss:1.274 acc:52.54
Epoch:0036 train loss:1.032 acc:54.02 | val loss:1.275 acc:52.54
Epoch:0037 train loss:1.015 acc:52.87 | val loss:1.276 acc:52.54
Epoch:0038 train loss:1.041 acc:56.32 | val loss:1.275 acc:52.54
Epoch:0039 train loss:0.977 acc:55.17 | val loss:1.273 acc:52.54
Epoch:0040 train loss:0.975 acc:60.92 | val loss:1.267 acc:52.54
Epoch:0041 train loss:0.977 acc:60.92 | val loss:1.262 acc:52.54
Epoch:0042 train loss:0.975 acc:60.92 | val loss:1.254 acc:52.54
Epoch:0043 train loss:0.919 acc:65.52 | val loss:1.245 acc:52.54
Epoch:0044 train loss:0.932 acc:65.52 | val loss:1.232 acc:52.54
Epoch:0045 train loss:0.970 acc:56.32 | val loss:1.217 acc:52.54
Epoch:0046 train loss:0.896 acc:67.82 | val loss:1.203 acc:52.54
Epoch:0047 train loss:0.871 acc:67.82 | val loss:1.186 acc:52.54
Epoch:0048 train loss:0.833 acc:71.26 | val loss:1.171 acc:54.24
Epoch:0049 train loss:0.810 acc:71.26 | val loss:1.160 acc:54.24
Epoch:0050 train loss:0.827 acc:70.11 | val loss:1.150 acc:52.54
Epoch:0051 train loss:0.831 acc:66.67 | val loss:1.144 acc:54.24
Epoch:0052 train loss:0.832 acc:72.41 | val loss:1.141 acc:55.93
Epoch:0053 train loss:0.801 acc:72.41 | val loss:1.141 acc:57.63
Epoch:0054 train loss:0.801 acc:73.56 | val loss:1.142 acc:57.63
Epoch:0055 train loss:0.705 acc:79.31 | val loss:1.144 acc:59.32
Epoch:0056 train loss:0.747 acc:74.71 | val loss:1.139 acc:59.32
Epoch:0057 train loss:0.671 acc:80.46 | val loss:1.129 acc:62.71
Epoch:0058 train loss:0.724 acc:81.61 | val loss:1.117 acc:61.02
Epoch:0059 train loss:0.683 acc:85.06 | val loss:1.104 acc:59.32
Epoch:0060 train loss:0.662 acc:81.61 | val loss:1.089 acc:59.32
Epoch:0061 train loss:0.673 acc:74.71 | val loss:1.075 acc:59.32
Epoch:0062 train loss:0.643 acc:79.31 | val loss:1.061 acc:59.32
Epoch:0063 train loss:0.661 acc:81.61 | val loss:1.051 acc:61.02
Epoch:0064 train loss:0.581 acc:82.76 | val loss:1.046 acc:66.10
Epoch:0065 train loss:0.558 acc:86.21 | val loss:1.049 acc:64.41
Epoch:0066 train loss:0.620 acc:80.46 | val loss:1.055 acc:64.41
Epoch:0067 train loss:0.573 acc:87.36 | val loss:1.060 acc:64.41
Epoch:0068 train loss:0.562 acc:86.21 | val loss:1.054 acc:64.41
Epoch:0069 train loss:0.490 acc:86.21 | val loss:1.041 acc:64.41
Epoch:0070 train loss:0.510 acc:85.06 | val loss:1.019 acc:66.10
Epoch:0071 train loss:0.453 acc:88.51 | val loss:1.005 acc:66.10
Epoch:0072 train loss:0.518 acc:85.06 | val loss:0.999 acc:66.10
Epoch:0073 train loss:0.481 acc:83.91 | val loss:0.998 acc:66.10
Epoch:0074 train loss:0.437 acc:87.36 | val loss:1.009 acc:66.10
Epoch:0075 train loss:0.412 acc:88.51 | val loss:1.022 acc:64.41
Epoch:0076 train loss:0.411 acc:89.66 | val loss:1.049 acc:61.02
Epoch:0077 train loss:0.452 acc:86.21 | val loss:1.068 acc:59.32
Epoch:0078 train loss:0.408 acc:90.80 | val loss:1.063 acc:59.32
Epoch:0079 train loss:0.399 acc:88.51 | val loss:1.040 acc:59.32
Epoch:0080 train loss:0.409 acc:88.51 | val loss:1.024 acc:59.32
Epoch:0081 train loss:0.418 acc:89.66 | val loss:1.016 acc:61.02
Epoch:0082 train loss:0.428 acc:86.21 | val loss:1.001 acc:62.71
Epoch:0083 train loss:0.429 acc:88.51 | val loss:0.986 acc:64.41
Epoch:0084 train loss:0.393 acc:89.66 | val loss:0.979 acc:64.41
Epoch:0085 train loss:0.453 acc:85.06 | val loss:1.005 acc:62.71
Epoch:0086 train loss:0.350 acc:90.80 | val loss:1.048 acc:59.32
Epoch:0087 train loss:0.364 acc:89.66 | val loss:1.070 acc:59.32
Epoch:0088 train loss:0.344 acc:90.80 | val loss:1.063 acc:59.32
Epoch:0089 train loss:0.337 acc:88.51 | val loss:1.040 acc:59.32
Epoch:0090 train loss:0.302 acc:90.80 | val loss:1.013 acc:59.32
Epoch:0091 train loss:0.322 acc:90.80 | val loss:0.983 acc:61.02
Epoch:0092 train loss:0.347 acc:89.66 | val loss:0.966 acc:64.41
Epoch:0093 train loss:0.357 acc:91.95 | val loss:0.962 acc:64.41
