BASELINE
full-supervised.py --data wisconsin --layer 16 --lamda 1 --weight_decay 5e-4 --model GCNII --variant
Epoch:0001 train loss:1.586 acc:41.67 | val loss:1.559 acc:51.25
Epoch:0002 train loss:1.570 acc:41.67 | val loss:1.542 acc:51.25
Epoch:0003 train loss:1.556 acc:41.67 | val loss:1.523 acc:51.25
Epoch:0004 train loss:1.536 acc:41.67 | val loss:1.498 acc:51.25
Epoch:0005 train loss:1.514 acc:41.67 | val loss:1.470 acc:51.25
Epoch:0006 train loss:1.490 acc:41.67 | val loss:1.439 acc:51.25
Epoch:0007 train loss:1.468 acc:41.67 | val loss:1.406 acc:51.25
Epoch:0008 train loss:1.425 acc:41.67 | val loss:1.373 acc:51.25
Epoch:0009 train loss:1.386 acc:41.67 | val loss:1.343 acc:51.25
Epoch:0010 train loss:1.375 acc:42.50 | val loss:1.321 acc:51.25
Epoch:0011 train loss:1.364 acc:42.50 | val loss:1.310 acc:51.25
Epoch:0012 train loss:1.323 acc:41.67 | val loss:1.308 acc:51.25
Epoch:0013 train loss:1.340 acc:41.67 | val loss:1.308 acc:51.25
Epoch:0014 train loss:1.324 acc:45.00 | val loss:1.306 acc:51.25
Epoch:0015 train loss:1.350 acc:39.17 | val loss:1.301 acc:51.25
Epoch:0016 train loss:1.319 acc:43.33 | val loss:1.296 acc:51.25
Epoch:0017 train loss:1.312 acc:47.50 | val loss:1.291 acc:51.25
Epoch:0018 train loss:1.269 acc:43.33 | val loss:1.286 acc:51.25
Epoch:0019 train loss:1.276 acc:43.33 | val loss:1.282 acc:51.25
Epoch:0020 train loss:1.266 acc:54.17 | val loss:1.279 acc:57.50
Epoch:0021 train loss:1.277 acc:45.83 | val loss:1.275 acc:58.75
Epoch:0022 train loss:1.254 acc:54.17 | val loss:1.270 acc:60.00
Epoch:0023 train loss:1.271 acc:49.17 | val loss:1.263 acc:61.25
Epoch:0024 train loss:1.248 acc:60.00 | val loss:1.254 acc:60.00
Epoch:0025 train loss:1.246 acc:53.33 | val loss:1.244 acc:58.75
Epoch:0026 train loss:1.209 acc:61.67 | val loss:1.233 acc:58.75
Epoch:0027 train loss:1.197 acc:60.83 | val loss:1.220 acc:58.75
Epoch:0028 train loss:1.211 acc:57.50 | val loss:1.207 acc:60.00
Epoch:0029 train loss:1.201 acc:60.83 | val loss:1.194 acc:62.50
Epoch:0030 train loss:1.160 acc:57.50 | val loss:1.181 acc:65.00
Epoch:0031 train loss:1.165 acc:59.17 | val loss:1.168 acc:61.25
Epoch:0032 train loss:1.160 acc:56.67 | val loss:1.154 acc:63.75
Epoch:0033 train loss:1.160 acc:60.00 | val loss:1.141 acc:68.75
Epoch:0034 train loss:1.125 acc:61.67 | val loss:1.125 acc:68.75
Epoch:0035 train loss:1.090 acc:60.00 | val loss:1.108 acc:68.75
Epoch:0036 train loss:1.092 acc:63.33 | val loss:1.091 acc:68.75
Epoch:0037 train loss:1.040 acc:67.50 | val loss:1.075 acc:70.00
Epoch:0038 train loss:1.040 acc:67.50 | val loss:1.058 acc:70.00
Epoch:0039 train loss:0.992 acc:70.83 | val loss:1.041 acc:70.00
Epoch:0040 train loss:0.997 acc:66.67 | val loss:1.023 acc:70.00
Epoch:0041 train loss:0.971 acc:66.67 | val loss:1.005 acc:70.00
Epoch:0042 train loss:0.954 acc:67.50 | val loss:0.987 acc:70.00
Epoch:0043 train loss:0.911 acc:70.00 | val loss:0.970 acc:70.00
Epoch:0044 train loss:0.931 acc:63.33 | val loss:0.954 acc:70.00
Epoch:0045 train loss:0.881 acc:66.67 | val loss:0.941 acc:70.00
Epoch:0046 train loss:0.854 acc:69.17 | val loss:0.924 acc:70.00
Epoch:0047 train loss:0.848 acc:69.17 | val loss:0.906 acc:70.00
Epoch:0048 train loss:0.850 acc:69.17 | val loss:0.892 acc:70.00
Epoch:0049 train loss:0.829 acc:70.83 | val loss:0.878 acc:70.00
Epoch:0050 train loss:0.788 acc:71.67 | val loss:0.864 acc:70.00
Epoch:0051 train loss:0.784 acc:74.17 | val loss:0.848 acc:71.25
Epoch:0052 train loss:0.777 acc:72.50 | val loss:0.833 acc:71.25
Epoch:0053 train loss:0.746 acc:72.50 | val loss:0.819 acc:71.25
Epoch:0054 train loss:0.720 acc:72.50 | val loss:0.807 acc:70.00
Epoch:0055 train loss:0.752 acc:71.67 | val loss:0.792 acc:71.25
Epoch:0056 train loss:0.695 acc:76.67 | val loss:0.780 acc:71.25
Epoch:0057 train loss:0.670 acc:78.33 | val loss:0.771 acc:71.25
Epoch:0058 train loss:0.672 acc:77.50 | val loss:0.767 acc:71.25
Epoch:0059 train loss:0.672 acc:73.33 | val loss:0.757 acc:71.25
Epoch:0060 train loss:0.636 acc:74.17 | val loss:0.741 acc:71.25
Epoch:0061 train loss:0.648 acc:75.83 | val loss:0.729 acc:72.50
Epoch:0062 train loss:0.637 acc:78.33 | val loss:0.720 acc:73.75
Epoch:0063 train loss:0.656 acc:82.50 | val loss:0.711 acc:73.75
Epoch:0064 train loss:0.620 acc:81.67 | val loss:0.703 acc:73.75
Epoch:0065 train loss:0.563 acc:82.50 | val loss:0.699 acc:73.75
Epoch:0066 train loss:0.556 acc:81.67 | val loss:0.698 acc:73.75
Epoch:0067 train loss:0.592 acc:75.00 | val loss:0.688 acc:75.00
Epoch:0068 train loss:0.601 acc:81.67 | val loss:0.678 acc:75.00
